1	T101	T189	149292994.35561314	10206.263417268561
1	T101	T84	149292994.35561314	10206.263417268561
1	T106	T137	16390917308.80505	220689.88666438102
1	T106	T78	16390917308.80505	220689.88666438102
1	T124	T51	1423716852.4397914	89598.10976240858
1	T124	T79	1423716852.4397914	89598.10976240858
1	T131	T104	632738590.0438737	54007.931890484244
1	T131	T168	632738590.0438737	54007.931890484244
1	T161	T135	1976571141.9385993	20655.24135923894
1	T19	T40	106010772803.9587	276870.06337808276
1	T55	T101	1937202178.3975203	101937.38238673969
1	T57	T139	1521028297.8942926	94104.95241503116
1	T57	T25	1521028297.8942926	94104.95241503116
1	T58	T114	35657158777.46562	440148.5062310216
1	T58	T167	35657158777.46562	440148.5062310216
1	T66	T3	115268722929.14456	845120.3466237675
1	T70	T46	7469986423.265516	218902.55789369138
1	T70	T85	7469986423.265516	218902.55789369138
1	T83	T148	30848910118.76179	401924.2218469361
1	T83	T74	30848910118.76179	401924.2218469361
2	T112	T104	2553099532.4748845	8904.407268521825
2	T112	T6	2553099532.4748845	8904.407268521825
2	T133	T161	41665977256.33363	405612.22748445446
2	T142	T63	18027038008.641926	296153.2918421503
2	T148	T28	3916401136.70983	115960.95491027481
2	T156	T102	2520968464.7923822	7070.159162837101
2	T156	T127	2520968464.7923822	7070.159162837101
2	T169	T112	2599028232.635039	16856.304451375003
2	T185	T49	38826877453.81388	469339.1605341225
2	T185	T90	38826877453.81388	469339.1605341225
2	T26	T110	475446174.3955145	41831.94930294998
2	T26	T66	475446174.3955145	41831.94930294998
2	T53	T105	66328326148.0104	481735.57558929065
2	T53	T60	66328326148.0104	481735.57558929065
2	T80	T58	41991197938.38375	501867.801481592
2	T80	T82	41991197938.38375	501867.801481592
2	T86	T166	88914211688.90276	334356.72856188886
2	T86	T197	88914211688.90276	334356.72856188886
2	T99	T132	2556346376.1677794	15229.407222324347
2	T99	T94	2556346376.1677794	15229.407222324347
3	T112	T196	62243291315.2359	466057.1383472005
3	T112	T79	62243291315.2359	466057.1383472005
3	T11	T8	1668302893.4060063	31452.082539049974
3	T133	T63	34487606919.33155	460998.65804794605
3	T133	T95	34487606919.33155	460998.65804794605
3	T141	T15	811136353.7561576	48143.608109660934
3	T141	T98	811136353.7561576	48143.608109660934
3	T143	T1	46691166589.55863	542461.3630681913
3	T143	T96	46691166589.55863	542461.3630681913
3	T154	T122	153068972096.75055	457615.5219094006
3	T154	T129	153068972096.75055	457615.5219094006
3	T171	T16	61147211888.938	572016.5893173078
3	T182	T141	245374537277.73663	1223079.4104395849
3	T192	T131	2468958872.137987	14159.981404605835
3	T22	T116	865158201.8279667	14227.078281384369
3	T22	T67	865158201.8279667	14227.078281384369
3	T83	T50	820338675.8494627	51990.63594199485
3	T83	T51	820338675.8494627	51990.63594199485
