T112	T146	1321229850.1410463	9430.204149153697
T112	T80	1321229850.1410463	9430.204149153697
T128	T44	17522757719.060646	305889.8273037466
T128	T70	17522757719.060646	305889.8273037466
T135	T21	74372999787.60495	367107.765570732
T152	T191	789883499.2302876	62801.025197793395
T154	T18	25679956204.065895	367084.3256716952
T154	T195	25679956204.065895	367084.3256716952
T172	T122	241568955.18295217	6844.744574172766
T172	T4	241568955.18295217	6844.744574172766
T191	T31	114865189.75265278	5899.740628062602
T21	T43	20036155064.304955	288891.04626597394
T31	T136	71721182.76698752	19081.06323838762
T31	T85	71721182.76698752	19081.06323838762
T63	T141	88412337326.9905	448485.325886207
T63	T32	88412337326.9905	448485.325886207
T68	T168	413159292.2551689	22497.930895859852
T68	T20	413159292.2551689	22497.930895859852
T74	T149	49307572014.88472	318687.9604661838
T74	T186	49307572014.88472	318687.9604661838
