	t1	t2	t3
Phoenicopteriformes_g	0.99900496	0.00049751246	0.00049751246
N81	0.781592	0.10995025	0.108457714
Pterocliformes	1.0	0.0	0.0
N83	0.53282326	0.23221277	0.23496397
N86	0.6373134	0.1761194	0.18656716
N90	0.99850744	0.0009950249	0.00049751246
N91	0.40410447	0.30995026	0.28594527
Columbiformes	0.99946904	0.0001872865	0.00034370733
N93	0.35454795	0.31373042	0.3317216
N97	0.99353236	0.0029850747	0.0034825872
Musophagiformes	0.9986583	0.0011167803	0.00022491376
N102	0.79303485	0.102487564	0.104477614
Otidiformes	0.99975985	0.00020467283	3.5424146e-05
N106	0.99303484	0.0029850747	0.0039800997
N109	0.9995025	0.0	0.00049751246
N113	0.99751246	0.0	0.0024875621
N114	0.99850744	0.00049751246	0.0009950249
N115	0.9880597	0.005472637	0.006467662
Cuculiformes	0.9995025	0.00049751246	0.0
N117	0.3538339	0.31199563	0.33417046
N118	0.38777626	0.30111954	0.3111042
N119	0.35010865	0.32654312	0.32334822
N124	1.0	0.0	0.0
N125	0.99850744	0.00062189053	0.0008706468
N130	0.9955224	0.0014925373	0.0029850747
N131	0.99701494	0.0014925373	0.0014925373
N132	0.9131012	0.04892206	0.03797678
Gruiformes	0.9911144	0.005778435	0.0031071655
N137	1.0	0.0	0.0
N138	0.97512436	0.012935324	0.011940299
N141	0.9885572	0.005472637	0.0059701493
N144	0.9960199	0.0019900498	0.0019900498
N145	0.99900496	0.0	0.0009950249
N146	0.9402834	0.028900951	0.030815618
N150	0.99452734	0.0029850747	0.0024875621
N151	0.99701494	0.0014925373	0.0014925373
N154	0.9955224	0.0034825872	0.0009950249
N158	0.99850744	0.00049751246	0.0009950249
N159	0.98109454	0.0089552235	0.0099502485
N160	0.99734664	0.0019900498	0.0006633499
N161	0.99900496	0.0	0.0009950249
N166	0.98706466	0.0069651743	0.0059701493
N167	0.9820896	0.0089552235	0.0089552235
N173	0.98905474	0.0059701493	0.0049751243
N174	0.9557214	0.021144278	0.023134328
N175	0.9960199	0.0014925373	0.0024875621
N176	0.8319403	0.0958209	0.0722388
N179	0.42802656	0.28159204	0.2903814
N183	0.6562189	0.1681592	0.1756219
N184	0.9971393	0.0014925373	0.0013681592
N185	0.98955226	0.0051741293	0.0052736322
N186	0.992471	0.0036484243	0.0038805972
N187	0.9882957	0.0049751243	0.0067291744
N188	0.9104478	0.044163793	0.045388445
N189	0.9678394	0.017306324	0.0148543
Charadriiformes	0.9899858	0.0045886557	0.0054255365
N191	0.35227296	0.32934344	0.3183836
N192	0.33079535	0.33838686	0.33081776
N196	0.8233831	0.09154229	0.085074626
Caprimulgidae	0.99889094	0.0009608715	0.00014823266
Nyctibiidae	0.99905735	6.161145e-05	0.0008810437
N202	0.34353378	0.32178473	0.33468148
N207	1.0	0.0	0.0
N210	1.0	0.0	0.0
N211	0.9721362	0.012938422	0.014925373
