361 98 .2715
361 99 .2742
361 100 .277
361 90 .2493
361 93 .2576
361 96 .2659
361 89 .2465
361 97 .2687
361 93 .2576
361 91 .2521
361 91 .2521
361 95 .2632
361 101 .2798
361 98 .2715
361 109 .3019
361 116 .3213
361 103 .2853
361 103 .2853
361 105 .2909
361 109 .3019
361 97 .2687
361 89 .2465
361 101 .2798
361 112 .3102
361 96 .2659
361 102 .2825
361 110 .3047
361 97 .2687
361 103 .2853
361 97 .2687
361 95 .2632
361 105 .2909
361 111 .3075
361 104 .2881
361 102 .2825
361 99 .2742
361 105 .2909
361 106 .2936
361 118 .3269
361 93 .2576
361 100 .277
361 100 .277
361 99 .2742
361 95 .2632
361 97 .2687
361 104 .2881
361 107 .2964
361 115 .3186
361 96 .2659
361 99 .2742
361 101 .2798
361 103 .2853
361 97 .2687
361 90 .2493
361 100 .277
361 101 .2798
361 95 .2632
361 80 .2216
361 100 .277
361 105 .2909
361 99 .2742
361 106 .2936
361 111 .3075
361 98 .2715
361 96 .2659
361 104 .2881
361 98 .2715
361 87 .241
361 87 .241
361 89 .2465
361 86 .2382
361 89 .2465
361 96 .2659
361 105 .2909
361 94 .2604
361 105 .2909
361 96 .2659
361 102 .2825
361 99 .2742
361 110 .3047
361 113 .313
361 104 .2881
361 113 .313
361 96 .2659
361 107 .2964
361 94 .2604
361 100 .277
361 98 .2715
361 98 .2715
361 97 .2687
361 100 .277
361 108 .2992
361 99 .2742
361 109 .3019
361 104 .2881
361 99 .2742
361 89 .2465
361 103 .2853
361 103 .2853
361 100 .277
361 92 .2548
361 106 .2936
361 100 .277
361 93 .2576
361 104 .2881
361 102 .2825
361 98 .2715
361 98 .2715
361 100 .277
361 95 .2632
361 99 .2742
361 95 .2632
361 100 .277
361 94 .2604
361 93 .2576
361 90 .2493
361 96 .2659
361 87 .241
361 99 .2742
361 98 .2715
361 101 .2798
361 103 .2853
361 104 .2881
361 86 .2382
361 92 .2548
361 89 .2465
361 94 .2604
361 96 .2659
361 101 .2798
361 100 .277
361 104 .2881
361 110 .3047
361 102 .2825
361 100 .277
361 100 .277
361 92 .2548
361 90 .2493
361 96 .2659
361 87 .241
361 102 .2825
361 97 .2687
361 98 .2715
361 96 .2659
361 89 .2465
361 100 .277
361 92 .2548
361 101 .2798
