branch_label,branch_median_age_Ma,substitution_rates_log,branch_length_Ma
V136,39.81808,6.51853152549144e-4,24.52186
Aramus_guarauna,13.778575,0.00122808833688363,27.55715
V138,22.934815,0.00100665602916019,9.24467
Balearica_regulorum,9.15624,0.00105069287887766,18.31248
Grus_americana,9.15624,8.99541712614678e-4,18.31248
V141,59.803885,9.21517481714325e-4,9.37503
V142,53.17708,0.00124130450913386,3.87858
V143,47.906955,0.0012391283861413,6.66167
Burhinus_bistriatus,22.28806,9.09533318993488e-4,44.57612
V145,28.942575,0.00148365282134886,31.26709
Chionis_minor,6.654515,0.00113404718241752,13.30903
Pluvianellus_socialis,6.654515,0.0012917076202069,13.30903
V148,41.787995,8.33403297034821e-4,18.89959
V149,28.09724,0.00120574391990031,8.48192
Charadrius_alexandrinus,11.92814,0.00103726491619344,23.85628
Charadrius_vociferus,11.92814,0.00132408520143939,23.85628
V152,26.20327,0.00110102376483061,12.26986
Himantopus_himantopus,10.03417,0.00102492090180989,20.06834
Ibidorhyncha_struthersii,10.03417,0.00132848827967605,20.06834
V155,52.903755,0.00178340838509967,4.42523
V156,45.98339,0.00229474435014037,9.4155
V157,34.36863,0.00108457536805271,13.81402
Limosa_lapponica,13.73081,8.92270902194752e-4,27.46162
V159,22.828735000000002,0.00131513740566011,9.26577
Arenaria_interpres,9.097925,0.00121400460172851,18.19585
Calidris_pugnax,9.097925,0.00141654391553831,18.19585
V162,37.63358,0.00216891518303588,7.28412
V163,29.484235,0.00170572186866232,9.01457
Pedionomus_torquatus,12.488475,0.00207016924241767,24.97695
Thinocorus_orbignyianus,12.488475,0.00195670843307635,24.97695
V166,31.31595,0.00173157665631542,5.35114
Jacana_jacana,14.32019,0.00208314455855994,28.64038
V168,23.610855,0.00184893454440399,10.05905
Nycticryphes_semicollaris,9.290665,0.0016078204179753,18.58133
Rostratula_benghalensis,9.290665,0.00207869452696775,18.58133
V171,48.03559,0.0014372122961696,5.3111
Turnix_velox,22.69002,0.003536525563321,45.38004
V173,39.9584,0.0010504840768676,10.84328
V174,31.62654,0.00128663038062572,5.82044
Dromas_ardeola,14.35816,8.4796611990266e-4,28.71632
V176,25.95918,0.00140083797652899,5.51428
Glareola_pratincola,11.60102,0.00151879288907659,23.20204
Rhinoptilus_africanus,11.60102,0.00157027554860883,23.20204
V179,30.70468,0.00119635297083257,7.66416
V180,26.133285,0.00190465692219714,1.4786300000000001
Stercorarius_parasiticus,12.696985,8.89112588763655e-4,25.39397
V182,22.324355,0.00152621119754989,6.13923
Cepphus_grylle,9.62737,9.03821775825655e-4,19.25474
V184,17.737415,0.00161686119628969,3.03465
Alca_torda,8.110045,6.67289661371235e-4,16.22009
V186,10.37226,5.42524654239847e-4,11.69566
Uria_aalge,2.262215,0.00115142300259407,4.52443
Uria_lomvia,2.262215,0.00113278443527458,4.52443
V189,23.63007,9.77690219451023e-4,6.48506
V190,19.952125,0.00262936535847299,0.87083
Phaetusa_simplex,9.758355,0.00100478596828007,19.51671
Rynchops_niger,9.758355,0.00128014070757297,19.51671
V193,12.17186,9.15039648017269e-4,16.43136
Rissa_tridactyla,1.97809,0.00111556509446092,3.95618
V195,3.58717,0.00243049503162488,0.73802
Chroicocephalus_maculipennis,1.60908,0.00131299743608331,3.21816
Larus_smithsonianus,1.60908,0.00117250135892847,3.21816
V198,64.522225,0.00171178385514203,1.43995
V199,63.026385,0.00171178385514203,1.55173
V200,44.07984,0.00141285809749201,36.34136
Nyctiprogne_leucopyga,12.95458,0.00104460296634463,25.90916
V202,23.914595,0.00131340040187777,3.98913
Antrostomus_carolinensis,10.960015,0.00125666271649808,21.92003
Chordeiles_acutipennis,10.960015,0.00142616759825309,21.92003
V205,61.920715,0.00334127068818414,0.65961
V206,61.057015,0.00273693197696497,1.06779
Steatornis_caripensis,30.26156,0.00128177094127063,60.52312
V208,41.07715,8.65676300909084e-4,38.89194
Nyctibius_bracteatus,10.81559,0.00123008001613713,21.63118
Nyctibius_grandis,10.81559,0.00100936509868062,21.63118
V211,61.14249,0.00321943816912245,0.89684
Podargus_strigoides,30.347035,0.00132996367573249,60.69407
V213,59.370675,0.00322538876478015,2.64679
Aegotheles_bennettii,29.02364,0.00141493635007289,58.04728
V215,56.5398,0.00438222343177272,3.01496
V216,52.795495,0.00824066113699751,4.47365
Chaetura_pelagica,25.279335,0.00132060638632116,50.55867
Hemiprocne_comata,25.279335,8.41670936887192e-4,50.55867
V219,36.407205,0.00273509625523914,37.25023
Calypte_anna,8.891045,0.00143753915581574,17.78209
Oreotrochilus_melanogaster,8.891045,0.00128831904375991,17.78209
V222,63.63532,0.0115658530521776,0.33386
V223,61.56302,0.00104460196929818,3.81074
Phaethon_lepturus,29.828825,0.00113658209385554,59.65765
V225,45.610855,0.00168640664164488,28.09359
Eurypyga_helias,15.78203,0.0015648864230594,31.56406
Rhynochetos_jubatus,15.78203,0.00143284660777899,31.56406
V228,62.870485,0.00142104611645184,1.19581
Gavia_stellata,31.13629,8.25045907961469e-4,62.27258
V230,61.795435,0.0022996166099962,0.95429
V231,60.98394,0.00205504800271202,0.6687
V232,37.494865,5.25344993757233e-4,46.30945
Aptenodytes_forsteri,7.17007,8.73231789274909e-4,14.34014
Pygoscelis_adeliae,7.17007,0.00109988156907415,14.34014
V235,57.567385,7.07940113212565e-4,6.16441
Thalassarche_chlororhynchos,27.24259,4.98298050361594e-4,54.48518
V237,53.622765,0.00142526372617159,1.72483
V238,35.899715,7.08796889085952e-4,33.72127
Fregetta_grallaria,9.51954,8.94612060286504e-4,19.03908
Oceanites_oceanicus,9.51954,9.94121734610837e-4,19.03908
V241,51.73038,0.00136507202550717,2.05994
Hydrobates_tethys,25.350205,6.82771299860146e-4,50.70041
V243,37.295555,5.00755789999691e-4,26.80971
Fulmarus_glacialis,11.94535,8.00840945027353e-4,23.8907
V245,23.034905,0.00156017302378099,1.71159
Calonectris_borealis,11.089555,8.02361182892873e-4,22.17911
Pelecanoides_urinatrix,11.089555,0.00112614481208393,22.17911
V248,61.00878,0.00228264814986047,0.61902
Ciconia_maguari,30.349635,6.35080215028116e-4,60.69927
V250,60.211695,0.001603268235593,0.97515
V251,59.201875,0.00167685595355161,1.04449
V252,44.35784,6.38996891904981e-4,28.64358
Mesembrinibis_cayennensis,15.018025,8.42163917209872e-4,30.03605
Nipponia_nippon,15.018025,9.07372261919924e-4,30.03605
V255,58.215185,0.00206860076620109,0.92889
V256,45.93536,0.00132522970837626,23.63076
Cochlearius_cochlearius,17.05999,7.93659955733675e-4,34.11998
Egretta_garzetta,17.05999,0.00103080290982567,34.11998
V259,47.89719,4.69047012371396e-4,19.7071
Balaeniceps_rex,19.02182,8.43258329959824e-4,38.04364
V261,37.518965,0.00273710925398958,1.04935
Pelecanus_crispus,18.497145,0.00103124735518989,36.99429
Scopus_umbretta,18.497145,0.00136487277371638,36.99429
V264,56.893855,9.32604658719369e-4,5.66053
Fregata_magnificens,27.031795,6.75991750761999e-4,54.06359
V266,46.165475,9.06380252256988e-4,15.79623
Sula_dactylatra,19.13368,0.00107267602902701,38.26736
V268,36.27862,0.00127505280412825,3.97748
V269,26.605945,0.00109946075329049,15.36787
Anhinga_anhinga,9.461005,0.00114271719651604,18.92201
Anhinga_rufa,9.461005,0.00115008252641619,18.92201
V272,20.265085,0.00155894948946952,28.04959
V273,5.932085,0.00241432899904364,0.61641
Phalacrocorax_carbo,2.81194,0.00108922771745977,5.62388
Phalacrocorax_pelagicus,2.81194,0.00108115989547191,5.62388
V276,4.91473,0.00118129964781583,2.65112
Phalacrocorax_harrisi,1.794585,0.00118734089768119,3.58917
V278,2.82582499999999,0.00155004633028532,1.52669
Phalacrocorax_auritus,1.03124,0.00128619610247078,2.06248
Phalacrocorax_brasilianus,1.03124,0.00127534755026043,2.06248
V281,64.825225,0.00405421087221857,2.02369
V282,63.728375,0.0277026005027776,0.17001
V283,63.508585,0.00872633905933104,0.26957
V284,59.497215,0.00135862832287454,7.75317
Tyto_alba,27.810315,0.00123050654554247,55.62063
V286,36.30817,8.27720233258262e-4,38.62492
Glaucidium_brasilianum,8.497855,0.00246718190745434,16.99571
V288,9.667625,0.00102641256363895,14.65617
Ciccaba_nigrolineata,1.16977,0.00184406387666922,2.33954
Strix_occidentalis,1.16977,0.0018011309404718,2.33954
V291,62.77531,0.00192617303095891,1.19698
Cathartes_aura,31.08841,5.60306632291776e-4,62.17682
V293,58.13227,0.00101702457758338,8.0891
Sagittarius_serpentarius,27.04386,9.11435720768727e-4,54.08772
V295,43.17192,4.9517912661459e-4,21.8316
Pandion_haliaetus,16.12806,0.00118617607145619,32.25612
V297,20.77279,6.23405725625635e-4,22.96666
Circaetus_pectoralis,4.64473,0.00136969641316013,9.28946
V299,8.84578,0.00282309163289452,0.88736
V300,4.448585,0.00204935782523067,7.90703
Haliaeetus_albicilla,0.247535,0.00298617772240758,0.49507
Haliaeetus_leucocephalus,0.247535,0.00306299594836874,0.49507
V303,6.084935,0.00146251261728083,4.63433
Aquila_chrysaetos,1.883885,0.00164436544039961,3.76777
Spizaetus_tyrannus,1.883885,0.00183012741236099,3.76777
V306,63.578285,0.0391934931219656,0.13017
V307,42.395165,0.00217193435406574,42.23607
Colius_striatus,10.638565,0.00186822461940968,21.27713
Urocolius_indicus,10.638565,0.00207012864961449,21.27713
V310,63.187605,0.00363568703545025,0.65119
Leptosomus_discolor,31.431005,0.00119001409230051,62.86201
V312,62.58678,0.00406917309138991,0.55046
V313,41.454745,0.00191067537472232,41.71361
Apaloderma_vittatum,10.29897,0.00191246777723703,20.59794
Trogon_melanurus,10.29897,0.00176904714747927,20.59794
V316,61.775095,0.00297744077682133,1.07291
V317,58.286965,0.00225960018929148,5.90335
V318,39.74548,0.00154065754465129,31.17962
Buceros_rhinoceros,12.077835,0.00211213366852566,24.15567
Bucorvus_abyssinicus,12.077835,0.0014501217010691,24.15567
V321,43.51884,0.00364494024359155,23.6329
Rhinopomastus_cyanomelas,15.851195,0.00318900889514725,31.70239
Upupa_epops,15.851195,0.00308339261818806,31.70239
V324,60.560525,0.00300895585693027,1.35623
V325,58.03961,0.00273090577782839,3.6856
V326,55.43996,0.00337993745977917,1.5137
Merops_nubicus,27.341555,0.00186487908541969,54.68311
V328,46.34584,0.00134013260959209,16.67454
Brachypteracias_leptosomus,19.004285,0.00161785970037252,38.00857
Eurystomus_gularis,19.004285,0.00145768295122935,38.00857
V331,52.71825,0.00159616948318428,6.95712
Todus_mexicanus,24.619845,0.00187207497020362,49.23969
V333,47.318365,0.00206639277440784,3.84265
Baryphthengus_martii,22.69852,0.00181389806499329,45.39704
V335,38.840965,0.00176882129050543,13.11215
Ceyx_cyanopectus,16.142445,0.00272514738942378,32.28489
V337,31.418885,0.0029587877776898,1.73201
Chloroceryle_aenea,15.27644,0.00214126832240533,30.55288
Halcyon_senegalensis,15.27644,0.00151588369967205,30.55288
V340,57.759725,0.00231042560319919,4.24537
V341,48.784995,0.00179695850794304,13.70409
Bucco_capensis,20.966475,0.00219920733287451,41.93295
Galbula_dea,20.966475,0.00207612272049349,41.93295
V344,46.92621,0.00410209534133449,17.42166
V345,32.74999,0.0018253912719517,10.93078
