edge	TN	FP	FN	TP	p	r	type	method	change	X11	SUNIT	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN	CU	recall	precision	f1	acc	fpr	fnr	expanded	ilr	sc	cu_bin	p_bin
Accipitriformes	793	677	17	13	0.02	1	population_size_change	BestTopology+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.433333333333333	0.0188405797101449	0.0361111111111111	0.537333333333333	0.460544217687075	0.566666666666667	FALSE	FALSE	FALSE	(0.1,1]	(0,0.05]
Accipitriformes	1349	1	150	0	0.1	1	population_size_change	PresentBP+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0	0	0	0.899333333333333	0.000740740740740741	1	FALSE	FALSE	FALSE	(0.1,1]	(0.05,0.15]
Accipitriformes	1056	219	205	20	0.15	1	population_size_change	BarycentricBins(6)+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.0888888888888889	0.0836820083682008	0.0862068965517241	0.717333333333333	0.171764705882353	0.911111111111111	FALSE	FALSE	TRUE	(0.1,1]	(0.05,0.15]
Accipitriformes	768	657	44	31	0.05	1	population_size_change	BestTopology+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.413333333333333	0.0450581395348837	0.0812581913499345	0.532666666666667	0.461052631578947	0.586666666666667	FALSE	FALSE	FALSE	(0.1,1]	(0,0.05]
Accipitriformes	865	560	52	23	0.05	1	population_size_change	KmeansQQS+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.306666666666667	0.039451114922813	0.0699088145896656	0.592	0.392982456140351	0.693333333333333	FALSE	TRUE	FALSE	(0.1,1]	(0,0.05]
Accipitriformes	929	346	141	84	0.15	1	population_size_change	BarycentricBins(6)+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.373333333333333	0.195348837209302	0.256488549618321	0.675333333333333	0.271372549019608	0.626666666666667	TRUE	FALSE	TRUE	(0.1,1]	(0.05,0.15]
Accipitriformes	1182	18	293	7	0.2	1	population_size_change	PresentBP+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.0233333333333333	0.28	0.0430769230769231	0.792666666666667	0.015	0.976666666666667	TRUE	FALSE	FALSE	(0.1,1]	(0.15,0.25]
Accipitriformes	1012	338	104	46	0.1	1	population_size_change	TopologyOrder+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.306666666666667	0.119791666666667	0.172284644194757	0.705333333333333	0.25037037037037	0.693333333333333	TRUE	FALSE	FALSE	(0.1,1]	(0.05,0.15]
Accipitriformes	1329	21	146	4	0.1	1	population_size_change	PresentBP+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.0266666666666667	0.16	0.0457142857142857	0.888666666666667	0.0155555555555556	0.973333333333333	TRUE	FALSE	FALSE	(0.1,1]	(0.05,0.15]
Accipitriformes	1244	106	142	8	0.1	1	population_size_change	BarycentricBins(6)+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.0533333333333333	0.0701754385964912	0.0606060606060606	0.834666666666667	0.0785185185185185	0.946666666666667	FALSE	FALSE	TRUE	(0.1,1]	(0.05,0.15]
Accipitriformes	895	455	86	64	0.1	1	population_size_change	GaussianQQS+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.426666666666667	0.123314065510597	0.191330343796712	0.639333333333333	0.337037037037037	0.573333333333333	FALSE	FALSE	FALSE	(0.1,1]	(0.05,0.15]
Accipitriformes	763	707	14	16	0.02	1	population_size_change	BestTopology+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.533333333333333	0.0221300138312586	0.0424966799468791	0.519333333333333	0.480952380952381	0.466666666666667	TRUE	FALSE	FALSE	(0.1,1]	(0,0.05]
Accipitriformes	1244	106	142	8	0.1	1	population_size_change	BarycentricBins(6)+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.0533333333333333	0.0701754385964912	0.0606060606060606	0.834666666666667	0.0785185185185185	0.946666666666667	FALSE	FALSE	TRUE	(0.1,1]	(0.05,0.15]
Accipitriformes	1087	38	104	271	0.25	1	population_size_change	Phlag	10X_up	0.160606369376183	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.722666666666667	0.877022653721683	0.792397660818713	0.905333333333333	0.0337777777777778	0.277333333333333	FALSE	FALSE	FALSE	(0.1,1]	(0.15,0.25]
Accipitriformes	895	455	86	64	0.1	1	population_size_change	GaussianQQS+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.426666666666667	0.123314065510597	0.191330343796712	0.639333333333333	0.337037037037037	0.573333333333333	FALSE	FALSE	FALSE	(0.1,1]	(0.05,0.15]
Accipitriformes	1160	265	52	23	0.05	1	population_size_change	BarycentricBins(6)+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.306666666666667	0.0798611111111111	0.126721763085399	0.788666666666667	0.185964912280702	0.693333333333333	FALSE	FALSE	TRUE	(0.1,1]	(0,0.05]
Accipitriformes	1425	0	75	0	0.05	1	population_size_change	Phlag	10X_up	0.212664544582367	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0	NA	0	0.95	0	1	FALSE	FALSE	FALSE	(0.1,1]	(0,0.05]
Accipitriformes	1108	17	373	2	0.25	1	population_size_change	GaussianQQS+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.00533333333333333	0.105263157894737	0.0101522842639594	0.74	0.0151111111111111	0.994666666666667	TRUE	FALSE	FALSE	(0.1,1]	(0.15,0.25]
Accipitriformes	1165	35	285	15	0.2	1	population_size_change	BarycentricBins(6)+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.05	0.3	0.0857142857142857	0.786666666666667	0.0291666666666667	0.95	FALSE	FALSE	TRUE	(0.1,1]	(0.15,0.25]
Accipitriformes	942	333	147	78	0.15	1	population_size_change	TopologyOrder+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.346666666666667	0.18978102189781	0.245283018867925	0.68	0.261176470588235	0.653333333333333	TRUE	FALSE	FALSE	(0.1,1]	(0.05,0.15]
Accipitriformes	713	412	134	241	0.25	1	population_size_change	KmeansQQS+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.642666666666667	0.36906584992343	0.468871595330739	0.636	0.366222222222222	0.357333333333333	FALSE	TRUE	FALSE	(0.1,1]	(0.15,0.25]
Accipitriformes	990	480	19	11	0.02	1	population_size_change	GaussianQQS+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.366666666666667	0.0224032586558045	0.0422264875239923	0.667333333333333	0.326530612244898	0.633333333333333	FALSE	FALSE	FALSE	(0.1,1]	(0,0.05]
Accipitriformes	835	440	119	106	0.15	1	population_size_change	GaussianQQS+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.471111111111111	0.194139194139194	0.27496757457847	0.627333333333333	0.345098039215686	0.528888888888889	FALSE	FALSE	FALSE	(0.1,1]	(0.05,0.15]
Accipitriformes	799	326	251	124	0.25	1	population_size_change	KmeansQQS+HMM	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	0.330666666666667	0.275555555555556	0.300606060606061	0.615333333333333	0.289777777777778	0.669333333333333	TRUE	TRUE	FALSE	(0.1,1]	(0.15,0.25]
