1280 190 30 0 0.02 1.0 bcb-hmm anomaly_case-Accipitriformes_10X_up 0.02 Accipitriformes
1239 186 75 0 0.05 1.0 bcb-hmm anomaly_case-Accipitriformes_10X_up 0.05 Accipitriformes
1248 102 150 0 0.1 1.0 bcb-hmm anomaly_case-Accipitriformes_10X_up 0.10 Accipitriformes
1083 192 225 0 0.15 1.0 bcb-hmm anomaly_case-Accipitriformes_10X_up 0.15 Accipitriformes
1039 161 300 0 0.2 1.0 bcb-hmm anomaly_case-Accipitriformes_10X_up 0.20 Accipitriformes
1061 64 365 10 0.25 1.0 bcb-hmm anomaly_case-Accipitriformes_10X_up 0.25 Accipitriformes
1216 254 26 4 0.02 1.0 dto-hmm anomaly_case-Accipitriformes_10X_up 0.02 Accipitriformes
1217 208 69 6 0.05 1.0 dto-hmm anomaly_case-Accipitriformes_10X_up 0.05 Accipitriformes
948 402 94 56 0.1 1.0 dto-hmm anomaly_case-Accipitriformes_10X_up 0.10 Accipitriformes
706 569 94 131 0.15 1.0 dto-hmm anomaly_case-Accipitriformes_10X_up 0.15 Accipitriformes
1069 131 227 73 0.2 1.0 dto-hmm anomaly_case-Accipitriformes_10X_up 0.20 Accipitriformes
857 268 266 109 0.25 1.0 dto-hmm anomaly_case-Accipitriformes_10X_up 0.25 Accipitriformes
793 677 17 13 0.02 1.0 mlt-hmm anomaly_case-Accipitriformes_10X_up 0.02 Accipitriformes
768 657 44 31 0.05 1.0 mlt-hmm anomaly_case-Accipitriformes_10X_up 0.05 Accipitriformes
737 613 86 64 0.1 1.0 mlt-hmm anomaly_case-Accipitriformes_10X_up 0.10 Accipitriformes
708 567 140 85 0.15 1.0 mlt-hmm anomaly_case-Accipitriformes_10X_up 0.15 Accipitriformes
644 556 194 106 0.2 1.0 mlt-hmm anomaly_case-Accipitriformes_10X_up 0.20 Accipitriformes
606 519 249 126 0.25 1.0 mlt-hmm anomaly_case-Accipitriformes_10X_up 0.25 Accipitriformes
1469 1 30 0 0.02 1.0 pbp-hmm anomaly_case-Accipitriformes_10X_up 0.02 Accipitriformes
1424 1 75 0 0.05 1.0 pbp-hmm anomaly_case-Accipitriformes_10X_up 0.05 Accipitriformes
1349 1 150 0 0.1 1.0 pbp-hmm anomaly_case-Accipitriformes_10X_up 0.10 Accipitriformes
1274 1 225 0 0.15 1.0 pbp-hmm anomaly_case-Accipitriformes_10X_up 0.15 Accipitriformes
1199 1 300 0 0.2 1.0 pbp-hmm anomaly_case-Accipitriformes_10X_up 0.20 Accipitriformes
1124 1 375 0 0.25 1.0 pbp-hmm anomaly_case-Accipitriformes_10X_up 0.25 Accipitriformes
1470 0 30 0 0.02 1.0 bcb-hmm anomaly_case-N109_10X_down 0.02 N109
1425 0 75 0 0.05 1.0 bcb-hmm anomaly_case-N109_10X_down 0.05 N109
1350 0 150 0 0.1 1.0 bcb-hmm anomaly_case-N109_10X_down 0.10 N109
1275 0 225 0 0.15 1.0 bcb-hmm anomaly_case-N109_10X_down 0.15 N109
1200 0 300 0 0.2 1.0 bcb-hmm anomaly_case-N109_10X_down 0.20 N109
1125 0 375 0 0.25 1.0 bcb-hmm anomaly_case-N109_10X_down 0.25 N109
1470 0 30 0 0.02 1.0 dto-hmm anomaly_case-N109_10X_down 0.02 N109
1425 0 75 0 0.05 1.0 dto-hmm anomaly_case-N109_10X_down 0.05 N109
1350 0 150 0 0.1 1.0 dto-hmm anomaly_case-N109_10X_down 0.10 N109
1275 0 225 0 0.15 1.0 dto-hmm anomaly_case-N109_10X_down 0.15 N109
1200 0 300 0 0.2 1.0 dto-hmm anomaly_case-N109_10X_down 0.20 N109
1125 0 375 0 0.25 1.0 dto-hmm anomaly_case-N109_10X_down 0.25 N109
1470 0 30 0 0.02 1.0 mlt-hmm anomaly_case-N109_10X_down 0.02 N109
1425 0 75 0 0.05 1.0 mlt-hmm anomaly_case-N109_10X_down 0.05 N109
1350 0 150 0 0.1 1.0 mlt-hmm anomaly_case-N109_10X_down 0.10 N109
1275 0 225 0 0.15 1.0 mlt-hmm anomaly_case-N109_10X_down 0.15 N109
1200 0 300 0 0.2 1.0 mlt-hmm anomaly_case-N109_10X_down 0.20 N109
1125 0 375 0 0.25 1.0 mlt-hmm anomaly_case-N109_10X_down 0.25 N109
1470 0 30 0 0.02 1.0 pbp-hmm anomaly_case-N109_10X_down 0.02 N109
1425 0 75 0 0.05 1.0 pbp-hmm anomaly_case-N109_10X_down 0.05 N109
1350 0 150 0 0.1 1.0 pbp-hmm anomaly_case-N109_10X_down 0.10 N109
1275 0 225 0 0.15 1.0 pbp-hmm anomaly_case-N109_10X_down 0.15 N109
1200 0 300 0 0.2 1.0 pbp-hmm anomaly_case-N109_10X_down 0.20 N109
1125 0 375 0 0.25 1.0 pbp-hmm anomaly_case-N109_10X_down 0.25 N109
1470 0 30 0 0.02 1.0 bcb-hmm anomaly_case-N114_10X_down 0.02 N114
