	Zonotrichia_albicollis	Nycticryphes_semicollaris	Picoides_pubescens	Mystacornis_crossleyi	Buphagus_erythrorhynchus	Halcyon_senegalensis	Columba_livia	Uria_aalge	Tyto_alba	Leptocoma_aspasia	Heliornis_fulica	Oxylabes_madagascariensis	Pedionomus_torquatus	Malurus_elegans	Rhea_americana	Fregetta_grallaria	Amazona_guildingii	Orthonyx_spaldingii	Pitta_sordida	Taeniopygia_guttata	Bucco_capensis	Todus_mexicanus	Ceuthmochares_aereus	Lonchura_striata	Saxicola_maurus	Pluvianellus_socialis	Serilophus_lunatus	Corvus_brachyrhynchos	Sakesphorus_luctuosus	Prunella_fulvescens	Sclerurus_mexicanus	Sinosuthora_webbiana	Elachura_formosa	Anser_cygnoid	Urocolius_indicus	Hippolais_icterina	Columbina_picui	Phalacrocorax_brasilianus	Colinus_virginianus	Myiagra_hebetior	Cairina_moschata	Dryoscopus_gambensis	Emberiza_fucata	Chlorodrepanis_virens	Opisthocomus_hoazin	Regulus_satrapa	Asarcornis_scutulata	Syrrhaptes_paradoxus	Phasianus_colchicus	Herpetotheres_cachinnans	Cnemophilus_loriae	Circaetus_pectoralis	Agelaius_phoeniceus	Irena_cyanogastra	Setophaga_kirtlandii	Daphoenositta_chrysoptera	Aquila_chrysaetos	Locustella_ochotensis	Climacteris_rufus	Setophaga_coronata	Cercotrichas_coryphaeus	Loxia_curvirostra	Rissa_tridactyla	Pardalotus_punctatus	Charadrius_alexandrinus	Rynchops_niger	Origma_solitaria	Tyrannus_savana	Merops_nubicus	Chloropsis_hardwickii	Chloroceryle_aenea	Phoenicopterus_ruber	Rhabdornis_inornatus	Leptosomus_discolor	Aptenodytes_forsteri	Pandion_haliaetus	Cardinalis_cardinalis	Spizella_passerina	Mohoua_ochrocephala	Rhinoptilus_africanus	Upupa_epops	Motacilla_alba	Corythaixoides_concolor	Erythrocercus_mccallii	Alopecoenas_beccarii	Chroicocephalus_maculipennis	Ciconia_maguari	Apteryx_rowi	Copsychus_sechellarum	Melospiza_melodia	Balaeniceps_rex	Calypte_anna	Uria_lomvia	Centropus_unirufus	Calyptomena_viridis	Vireo_altiloquus	Zosterops_hypoxanthus	Pseudopodoces_humilis	Patagioenas_fasciata	Oceanites_oceanicus	Hemiprocne_comata	Struthio_camelus	Pomatorhinus_ruficollis	Rostratula_benghalensis	Turnix_velox	Rhea_pennata	Sagittarius_serpentarius	Lepidothrix_coronata	Alca_torda	Nesospiza_acunhae	Dromaius_novaehollandiae	Hemignathus_wilsoni	Baryphthengus_martii	Ploceus_nigricollis	Geospiza_fortis	Eurystomus_gularis	Oxyruncus_cristatus	Dyaphorophyia_castanea	Cuculus_canorus	Pelecanoides_urinatrix	Himantopus_himantopus	Phalacrocorax_carbo	Corvus_moneduloides	Glareola_pratincola	Larus_smithsonianus	Sitta_europaea	Menura_novaehollandiae	Nothocercus_nigrocapillus	Casuarius_casuarius	Stercorarius_parasiticus	Trogon_melanurus	Hirundo_rustica	Rhynochetos_jubatus	Aphelocoma_coerulescens	Hydrobates_tethys	Donacobius_atricapilla	Anhinga_anhinga	Edolisoma_coerulescens	Ramphastos_sulfuratus	Tricholaema_leucomelas	Pachycephala_philippinensis	Fulmarus_glacialis	Apaloderma_vittatum	Eulacestoma_nigropectus	Mesitornis_unicolor	Odontophorus_gujanensis	Rhegmatorhina_hoffmannsi	Paradisaea_raggiana	Haliaeetus_albicilla	Sula_dactylatra	Meleagris_gallopavo	Ciccaba_nigrolineata	Bombycilla_garrulus	Melanocharis_versteri	Cettia_cetti	Apteryx_owenii	Haliaeetus_leucocephalus	Nicator_chloris	Cochlearius_cochlearius	Oriolus_oriolus	Ceyx_cyanopectus	Catharus_fuscescens	Anas_zonorhyncha	Callaeas_wilsoni	Serinus_canaria	Neodrepanis_coruscans	Phalacrocorax_harrisi	Rhodinocichla_rosea	Passer_domesticus	Vidua_chalybeata	Chaetorhynchus_papuensis	Illadopsis_cleaveri	Alaudala_cheleensis	Spizaetus_tyrannus	Limosa_lapponica	Onychorhynchus_coronatus	Falcunculus_frontatus	Aegithalos_caudatus	Lanius_ludovicianus	Erithacus_rubecula	Manacus_manacus	Phaethon_lepturus	Balearica_regulorum	Anhinga_rufa	Mesembrinibis_cayennensis	Strix_occidentalis	Promerops_cafer	Vidua_macroura	Pterocles_burchelli	Piprites_chloris	Quiscalus_mexicanus	Crotophaga_sulcirostris	Chaetura_pelagica	Cathartes_aura	Ptilonorhynchus_violaceus	Smithornis_capensis	Passerina_amoena	Crypturellus_cinnamomeus	Cariama_cristata	Brachypodius_atriceps	Pelecanus_crispus	Piaya_cayana	Poecile_atricapillus	Gallus_gallus	Eubucco_bourcierii	Anas_platyrhynchos	Acrocephalus_arundinaceus	Bucorvus_abyssinicus	Gymnorhina_tibicen	Podiceps_cristatus	Corythaeola_cristata	Falco_peregrinus	Aegotheles_bennettii	Sporophila_hypoxantha	Grantiella_picta	Numida_meleagris	Aramus_guarauna	Eurypyga_helias	Podilymbus_podiceps	Nothoprocta_perdicaria	Sylvia_borin	Atlantisia_rogersi	Caloenas_nicobarica	Semnornis_frantzii	Anseranas_semipalmata	Oenanthe_oenanthe	Indicator_maculatus	Loxia_leucoptera	Tympanuchus_cupido	Tichodroma_muraria	Thryothorus_ludovicianus	Thinocorus_orbignyianus	Pomatostomus_ruficeps	Dromas_ardeola	Nyctibius_grandis	Crypturellus_soui	Egretta_garzetta	Zosterops_lateralis	Buceros_rhinoceros	Ibidorhyncha_struthersii	Oreocharis_arfaki	Nipponia_nippon	Horornis_vulcanius	Pachyramphus_minor	Glaucidium_brasilianum	Pygoscelis_adeliae	Pheucticus_melanocephalus	Alectura_lathami	Grallaria_varia	Sylvietta_virens	Charadrius_vociferus	Cephalopterus_ornatus	Furnarius_figulus	Podargus_strigoides	Aleadryas_rufinucha	Parus_major	Certhia_familiaris	Campylorhamphus_procurvoides	Zapornia_atra	Phalacrocorax_pelagicus	Galbula_dea	Calidris_pugnax	Eudromia_elegans	Coturnix_japonica	Agapornis_roseicollis	Cisticola_juncidis	Drymodes_brunneopygia	Nestor_notabilis	Pycnonotus_jocosus	Leucopsar_rothschildi	Anthoscopus_minutus	Calonectris_borealis	Nothoprocta_pentlandii	Notiomystis_cincta	Panurus_biarmicus	Gavia_stellata	Callipepla_squamata	Apteryx_australis	Tachuris_rubrigastra	Rhadina_sibilatrix	Nyctibius_bracteatus	Prunella_himalayana	Atrichornis_clamosus	Geococcyx_californianus	Chlamydotis_macqueenii	Urocynchramus_pylzowi	Centropus_bengalensis	Rhagologus_leucostigma	Sylvia_atricapilla	Crypturellus_undulatus	Apteryx_haastii	Acanthisitta_chloris	Nothoprocta_ornata	Rhinopomastus_cyanomelas	Formicarius_rufipectus	Hypocryptadius_cinnamomeus	Corvus_cornix	Grus_americana	Certhia_brachydactyla	Jacana_jacana	Neopipo_cinnamomea	Erpornis_zantholeuca	Polioptila_caerulea	Nyctiprogne_leucopyga	Antrostomus_carolinensis	Phalacrocorax_auritus	Nothocercus_julius	Ficedula_albicollis	Burhinus_bistriatus	Fregata_magnificens	Calcarius_ornatus	Phainopepla_nitens	Chaetops_frenatus	Falco_cherrug	Picathartes_gymnocephalus	Phylloscopus_trochilus	Chionis_minor	Hylia_prasina	Molothrus_ater	Mionectes_macconnelli	Chloropsis_cyanopogon	Psophia_crepitans	Tinamus_guttatus	Lophotis_ruficrista	Machaerirhynchus_nigripectus	Dicrurus_megarhynchus	Chauna_torquata	Oreotrochilus_melanogaster	Steatornis_caripensis	Junco_hyemalis	Brachypteracias_leptosomus	Cepphus_grylle	Peucedramus_taeniatus	Pterocles_gutturalis	Ptilorrhoa_leucosticta	Leiothrix_lutea	Pteruthius_melanotis	Melopsittacus_undulatus	Eolophus_roseicapillus	Arenaria_interpres	Probosciger_aterrimus	Psilopogon_haemacephalus	Penelope_pileata	Sapayoa_aenigma	Thalassarche_chlororhynchos	Chordeiles_acutipennis	Phaetusa_simplex	Sturnus_vulgaris	Ardeotis_kori	Sterrhoptilus_dennistouni	Toxostoma_redivivum	Scopus_umbretta	Dicaeum_eximium	Colius_striatus	Scytalopus_superciliaris	Cinclus_mexicanus	Rhipidura_dahli	Xiphorhynchus_elegans	Dasyornis_broadbenti	Struthidea_cinerea	Ifrita_kowaldi	Tauraco_erythrolophus	Chunga_burmeisteri
Zonotrichia_albicollis		50368753.80877096	53981251.88463924	56409395.528626665	55126478.600873195	50963092.48680645	53134048.4817971	51586805.77963061	57175780.85378728	53244438.31089861	51234188.77673059	58098090.59807078	51994075.53095802	51679987.823254876	49348343.63787179	54477964.06231026	53345203.25303913	54305703.34858244	49163558.445512794	50758514.04387181	52241722.342731945	54149013.00247201	54407638.11961365	50130298.573436156	53860612.62535848	51355625.21249454	46949860.64056542	51405727.072227366	48349236.530675136	56621231.18024862	47681768.00811471	56552607.6461948	57306364.41689798	52780729.45988154	50445254.68031745	52618628.52260795	57780167.24997102	49210328.761325404	50146123.486965865	55962610.68445561	52720000.697857186	56691827.524361044	54316489.96614933	49325122.898525625	54288872.90795193	56433239.65825187	53078762.10128024	55707307.765758544	50596845.75365112	52044452.56760739	56603444.20907844	54813618.31194224	60039119.138402104	57821453.414796	58296162.61053045	55079145.19507395	54325587.61880666	57398727.3936702	53463526.161106646	57405532.60531672	53402015.30358147	48422549.119062796	51730443.92300377	53869626.46679878	52153036.76942695	52607702.2790166	53690715.814093776	47429994.73156422	55663925.204492986	57339027.193197034	51044767.58486734	53694385.334735535	56583954.86718007	54082879.0400169	54280446.797502846	55287036.07558081	58313895.940875225	52577039.20627653	56438247.80893094	53151178.98482444	51155824.13600882	55844254.99759264	53946385.254446805	57485706.384066805	54537056.93889192	52427986.56070724	57305636.72093004	49516977.457140885	54353281.92119358	50818918.60331526	56191856.07942377	51103521.635903284	51712342.51565236	52004441.812343545	47629895.435264505	54377269.69465833	51823469.53222351	52027525.58055067	53197260.15572981	54972370.20853186	53623741.09912814	49389494.83276863	59176687.970166065	50976808.29657813	56391978.83037121	49405478.859860785	55624038.18425165	40781135.111596964	51954765.442863636	59868852.60932815	49612681.54409962	49937538.30000417	54375307.73891849	57528361.42789618	59799787.929511495	54169652.5798578	46551215.97734005	56005064.44230834	55280059.918974	56160948.048541024	51656646.155134656	51980970.553380415	51651225.26638945	53243732.84710107	52360011.45689803	56913924.080488555	53867462.63541744	52128886.63384708	49205465.224010475	53530553.217535	51937895.114164904	59122967.74698806	54796035.323521644	52923848.50866251	56455348.651950784	56418986.42301777	55206155.77625116	55398999.34751061	51592386.01105039	51536697.78551334	57060365.71413113	56428564.29400428	53511533.652764544	56123814.67508239	56114213.460189104	50383005.62856283	47585465.621765696	55660233.20168898	52299310.08716199	55145478.5223942	50941372.11952888	52528632.20167802	51401563.62750182	55689627.02553961	57346994.749257825	49535204.82658075	52357717.19567695	57320468.7804557	55013977.29720793	56878087.41751557	49191022.91280396	55512396.48693108	52644006.35274536	53567689.297155775	50631558.99308416	47732372.662573926	49281725.05771862	49689715.569975235	55637770.722834654	54672188.3709793	52286697.03617048	59440909.32402707	56621806.737078115	55004029.20855322	52507902.32269672	46180625.248279	54737065.333902575	57753227.26609317	53854928.79168053	54930060.469305694	41063594.08193974	54421001.26866957	53075940.52328426	53904402.37680003	55494083.29176613	52514309.91142141	53878279.63737932	56498860.93931195	54761096.026591666	46005458.654244535	61190781.555565245	53802201.45025534	53631801.994541496	55153746.40362212	52539729.695424885	46546661.307268165	59076790.36839638	51247173.00402754	50869324.0916672	55921162.36143871	56595731.52347274	55360760.752393365	52433979.73226992	50428443.82072185	51892245.157016665	52606566.66011823	52309669.85969062	51280074.70365873	55712593.87774807	51511490.317020625	54315029.67934908	46566836.439900205	53614734.099937506	63485689.89336829	50785575.633540966	51314191.58888924	53750176.017522305	54692082.92582531	50394824.02193478	50574808.66627661	51350485.37287383	51413185.846377626	54022636.14768653	51865832.23166715	54771736.78517872	53062651.28177617	52763138.67493766	48524191.4379424	51172435.255127564	56822922.25662881	54410189.84919984	52471057.694448	53873990.76206652	53003196.28410554	56042057.66432775	52308383.04217366	55418842.96154102	52243164.84854684	51057763.921759196	52571479.27303727	56638569.536535	55722485.96564648	56842833.86578813	47141328.35229684	53013858.67686386	54220586.88429602	59154030.96097375	55084549.17384417	49161651.56158874	50911506.912579425	52890654.27836528	45565984.937048234	47558229.35588074	56687805.796081066	57161221.710525975	52407024.03369458	54363067.09361796	48744578.91866732	52186890.67095119	49325002.43901852	52585414.889652364	50117842.247352034	53654455.07744698	52634472.42058964	53636312.009913474	57269444.07018741	55535006.246335335	52943287.489649214	56504172.769583836	52765581.08978571	56481208.90898447	56498476.57827987	49256482.7819715	52114593.67969296	54490878.19431117	55933399.696471184	50767364.67379683	49460470.233267345	46081359.60173125	53021728.182078674	55429961.27775877	59394978.331352666	54699509.374354355	54188440.729319215	53839192.023363605	56764508.00958891	52190171.33334035	55822712.065196365	51651765.60606162	50886299.41857694	49598083.19271198	54153726.98042772	49455505.558377475	53489625.39920247	49004823.011983685	57041362.16035628	51477330.575412616	53047701.630388916	54352698.335142404	52809312.1769989	42800154.91310937	55973489.428131774	54206776.187663056	53400206.55100255	54209782.79522616	49172140.223313324	51791928.900440715	54952106.938384466	53388345.63009953	56205007.87131016	58565205.38829041	51495917.239752315	53922863.02393615	46432221.72011826	53105347.081989914	53192622.52692163	51631279.71933785	57160360.83103589	61727654.95949883	47268754.14959127	55143406.62437065	53224807.52978279	52600917.506025925	53861639.55749899	54719258.57911837	54604016.009288795	54630672.50488593	49528685.11826595	55399729.057957165	55406005.88568724	55177185.59487966	52320571.486332595	56487889.43997903	55286832.545300804	54637450.49952925	58690634.39002184	55400390.81345085	52975601.597469926	53194823.99220404	50183269.728710435	53851998.921376266	53821545.27949137	53760009.891764626	47586263.657569155	56188959.15158888	53912830.04117804	52894313.94610414	53462619.88829231	53445131.84492958	51966554.02148171	55488701.50104136	56927175.02234541	53818228.0877681	50987503.36917461	48383026.13740331	55956571.86957244	55006345.524997495	49003603.252145536	52020255.010392934	54947336.71841182	54976979.38482526	53729849.03745697	50811617.2422526
Nycticryphes_semicollaris	50368753.80877096		51705745.28365576	50674983.10890999	49720361.183411695	48206250.64077708	48440996.04790577	38848898.96240127	53508883.41832273	49159938.01733488	46690110.26808659	50749489.101047955	46669368.34653822	49256809.3818193	45359658.41337146	49601069.36310864	51615696.193501495	49543109.95015891	47820493.53465264	48036033.0730823	49755552.3033628	49549561.94726083	50381042.25954404	47791538.84234092	49135612.16059323	41365850.58139862	46256328.42270975	48307953.26456564	47885138.51312244	49739494.92837151	47651790.76775053	50425199.422623046	51363068.96537973	48763353.2825111	46997760.35769648	48685859.65766787	54213929.68663014	44243245.6269502	45537284.59755376	50749623.82964656	48992573.58255027	50354950.263287686	49915079.162611306	48915786.399352655	50433124.270845674	51263366.84161017	49421168.253862046	49533809.04660509	46150412.88042045	50391159.84197586	50179299.98914059	51091439.32017035	50774640.15655651	50720609.915432565	50684931.948608205	50199768.996235326	50149243.22254207	50785954.3112155	49975904.81167493	50639937.414494224	48969357.967422545	48645936.67541683	39673129.67976001	50017548.6291086	41862529.71550417	41324712.4371007	49959303.53227105	49057329.2649029	53700682.61417218	50314327.68615757	47932804.117152736	48409091.602023736	50167946.19100196	53537588.009034134	49995271.5646953	51271591.204406224	50362620.28191081	50390947.933400445	50667198.21256039	42879073.815469205	48992748.71026095	50299020.62279262	48543383.37890785	50716156.78174955	50903199.15018674	40869156.29202988	53632289.990806445	45415664.8536414	49514791.24376163	50110853.72873768	50660622.04149412	44701317.88692961	38942241.61509706	48014254.604175225	46260687.771881	50131581.1977901	48509338.809996456	48109979.61492037	48605316.618024245	49923748.20287348	49044388.492847435	45922834.55829849	51480501.37123623	55902222.47821806	51487568.617521636	45424132.17917835	52187501.42324503	43386983.058394596	39020397.64370938	50143897.04313817	45247093.86778647	49008818.29962419	53258858.79747448	49927678.39712574	52275945.69668498	51360987.744017206	48455979.101922	50904546.20786749	51070817.06319748	52235982.861217365	40957865.269278534	46906046.38485712	48454858.03464042	43500900.24924044	40801844.88890067	50871998.59044061	49201221.30201541	48976716.21244807	45035492.8128575	41963253.8139813	49469418.788719244	51471598.57585037	51794603.49457565	49133962.37433357	52304699.39480015	50413587.723448075	52726032.83973775	50302824.12119894	49038904.71127513	48899966.50624033	51055586.24247121	51670172.64760963	51011673.036025986	50870979.230585374	51688124.556558765	46030898.04630773	49565604.49435771	50515131.63768261	47371244.78938693	52191019.32042468	46888823.98986646	48739078.62375743	48128428.543246284	49903448.92681762	50693177.594499454	45467566.98360651	47467974.657265685	50738389.09183075	50666565.66349114	51034646.16936008	45880419.60546363	50112873.58092469	48932924.937945716	49970262.02149389	49304135.54826032	48099769.61306187	44348586.65207878	48746656.27484318	52232490.104010984	49342654.6908658	48801723.84679045	51482269.24233942	50610946.56914374	51138019.112286635	41996092.75623754	47866657.97002718	50109161.82623647	50932927.70260518	49870987.675494865	49733282.43014753	43445183.50548299	51520736.68017416	48524838.636094525	51376893.68575699	52083907.79889615	48736954.91075909	49155794.57283761	51407313.26379186	48879446.48170905	47978470.634936206	52806991.471161745	50379629.93128794	48963336.84839112	52564700.581440404	49022405.53388937	46102580.95227537	50341085.86275087	48288419.4734442	47965348.40230535	50481241.844999544	53971887.19505434	51784720.373680614	48202419.480326794	46510248.12091432	48965269.383338936	48832588.97038769	48527368.38439906	49270981.431964576	50452290.048028775	45701040.68160788	47972134.671690755	43145985.682524234	48947580.49294074	50540949.641773865	48567423.03527372	46801420.52703442	47989206.073184505	51757952.93887233	44818529.68067045	47680822.87410925	48050567.704920694	46505925.22915518	50216869.74807485	49374777.65710899	50499211.458813906	48914247.23669605	50377574.05446811	48682828.584783316	46967880.654928654	49660404.73881929	49772794.409944594	46903955.40338193	49499338.6612578	42388614.32360294	49981445.76083633	49468337.03436197	51687418.1777593	48706738.08109607	50293792.92007069	42348046.45217135	51228356.93291344	52475831.24147485	50480364.94562362	48789590.96601832	50357195.84490802	49951435.480370775	50324700.649025254	51237377.68248849	50769373.53196687	47998099.15399128	43100417.84250787	47654035.67717339	47727788.4024687	52679251.80290332	51143480.76390412	48289897.30530123	49661520.88316356	48287545.43609718	47462717.774267085	44524768.29447704	50076484.98763421	37100354.49426338	50024857.14875518	48356244.60060444	51644357.77768207	51021793.467808686	50451382.44739603	50990242.11146598	50346668.5915788	48638915.40815419	50040235.69712841	52260252.426532455	45946736.48794174	49242670.98499375	48981379.86296639	51406241.80021326	46296316.17900153	45336426.617400125	47803818.64717006	48879108.471098974	49495988.56738535	50675664.487667434	50120212.62661134	50875541.96995849	49574180.162935205	50104202.57329648	48500331.37139689	50540777.91641189	48170252.83439321	47235517.603031576	45558782.272643514	51256182.64046301	46341860.521606974	50449616.61398637	50295069.76880124	49351972.79614294	48334558.01089897	47162933.67075153	49705750.399513096	49545005.21247796	44527814.98465196	51158355.117065296	49606717.81433068	48599279.12421669	50029571.322408125	44242049.76132757	48870046.69791781	49644799.187001266	44178263.438764945	52665016.11743459	50057801.57950183	48051782.24486428	50234139.92367339	42982632.79657964	49709125.437180385	48769452.240704805	41551994.99647982	50730159.54014321	51062180.77080668	49000616.29836257	49219494.60168066	48972951.882258765	50007795.33578893	49201915.75332589	49973440.580185235	49999268.708579585	50109181.20314884	43005787.11302845	51810157.52745645	50452272.57713821	49615656.95946585	39870165.17743279	50225522.18140271	49721405.65475761	49663634.943622835	51239724.527378336	50652414.4403883	50622950.3770268	50757283.03245618	37351057.13666985	50785231.91524238	50658486.51260642	49980493.65728831	48950980.62869469	52049639.48145341	49442341.684147954	41879993.11836919	48864583.88017963	48966283.587730095	48593780.9220401	49863136.08231123	53693294.81450399	49298392.971375	47482105.16251896	49926537.05081758	50342199.677083835	50574071.18847118	48440687.17627521	49258118.33518839	50123997.481342055	50188309.03127282	48514325.24499906	47954963.142194144
Picoides_pubescens	53981251.88463924	51705745.28365576		55432541.57020463	53456795.01969342	50895687.18970244	54172386.094158635	53135599.08275613	60277575.26651528	53332649.60417097	52291990.12473944	54647973.43488928	53258346.35171564	53317389.510494225	49777293.032392345	56391066.854924224	55165108.208425425	53709401.934631065	51336360.112717345	52071898.45236573	51230543.33343442	52896291.50825268	56807815.576420575	51878323.24096932	52899704.505980305	53260121.75707074	50142779.09917983	52825014.83033113	51518772.83821134	53916501.34484883	51634505.93329883	53993487.20475591	54818187.17330452	53327775.39337185	51315066.49527162	52690176.39785713	59223933.845163584	50848821.659296684	49817744.6685982	54837570.61633317	53385660.86063293	55066296.095133774	54036602.34034179	52847384.52235524	56699712.6783181	55181272.66893451	53841267.57188033	56435251.92450827	50363492.77691865	54638311.56592488	54070003.76663008	56953977.65990256	54406101.5665961	54179724.00487655	54110782.5012792	54458329.51391479	56356098.34451199	54482595.50845175	54045480.338212505	54057551.16717983	53072014.47172598	52703786.46536505	53627666.437949345	54061472.53291495	54325203.27539282	54473880.45104626	53973371.4460128	53194859.84089117	55011990.807654545	54067625.551374435	50944145.80505951	55423000.356411435	54318714.82454745	57475761.095721565	56300416.83038685	57272516.07668848	54073695.98570035	54932358.78785263	54748989.61723722	54861997.32738976	52101882.136342175	54079210.154449634	55038179.57065988	54528207.92955708	56097529.581427604	54313007.55341974	58935649.4592647	50313005.79629053	53387352.10913226	53787373.67484979	56442680.03836307	50983917.61490148	53218422.74965287	53386659.84609947	50464975.01595338	54413989.77632578	52514011.46503715	52033019.891701214	54401077.65984126	56641785.25627512	55471819.900145926	50190666.11594979	55056239.2239797	52268041.1832343	58018148.084939174	49769588.17107746	57080990.10929011	48573667.34036174	53462391.145121984	53910651.7321127	50004934.59083725	52968696.17205886	55137472.9311462	53851941.78983405	55648766.74505242	53537058.575404145	52743918.6941377	54695674.31440785	57066009.55916749	58251504.00770668	53505153.63359391	53375785.106625505	52956415.30975202	54993172.87474901	54286455.96904951	54241167.97500651	53827418.61226201	51662587.342235215	49908091.46982652	55498131.58479592	53451094.68307598	54836729.041097626	56343926.86686733	53419180.41048834	58636878.65762691	54106774.46395451	57268283.85497055	54442744.39652263	53773414.80726031	53626721.16028416	55055831.96317642	58402000.670257635	54521879.66302697	54766887.57755954	57581843.325467736	50453355.35756896	54462591.240052715	54744469.66895522	54136455.585002616	57540917.16449537	50797617.5345333	54800843.93649825	52097021.0630784	53970693.735718735	54549108.623747334	50306676.65358506	54256466.12729414	54360961.550273605	56234330.19089749	55075422.21931776	48045876.494637415	53893491.5688958	53376955.898148105	53857827.49923326	53192970.05661661	52474166.79062519	50887476.12658299	52509160.959472455	55879371.5119534	53225103.73744661	53012606.90183302	55180442.692385204	54320191.73961412	57682735.84612272	54632109.103554234	52202476.558196045	54350484.25016866	54659047.274901256	53956366.88396789	53408712.156713486	48936555.84293844	58673184.34886908	56377465.472750254	56319441.118391305	57409520.73798368	54779911.393116586	53478423.04436067	55358732.95887386	55436930.74324477	52206784.45247027	55892923.667473346	56587186.61012056	54858327.7129043	57599993.14569174	53100440.85758991	49909084.16275629	54008172.81767577	51496354.34726005	54261093.625282384	54732404.37272456	58594511.51580637	57684260.566524856	52240948.06088424	50748040.438418	54332992.16967884	53325598.2758836	52592075.97933314	51572917.43816623	54522711.995115064	52894687.82174073	54293825.84713015	48245815.593510464	55084894.586421736	54114511.24776407	53016755.52159926	51352643.59162321	54819811.908366	56536838.125721246	51831697.25314583	50832687.658215605	52180129.048379876	52426037.13406792	56600372.757661626	54094049.1123909	55394664.6001363	52546018.217456326	55523598.37821925	52739349.179616034	50835356.90127276	54185947.55705516	53404194.07985611	53675295.82869095	53275203.16893826	54932312.22712539	57519544.33551686	52566279.25504423	56802845.27264517	52650648.000568666	52122515.09269748	54488044.744428396	54971126.80484322	57681898.75300596	54459811.69791146	53041757.071043715	55690523.30738726	56272347.78258364	54043170.303513184	55317900.620374076	54882213.421807475	51867419.25922742	54874582.224366084	52104253.87743228	51752488.38909467	58596112.41781929	54926807.84354634	52228052.10748474	53732289.325416565	52379393.873753674	53414934.574241064	50988015.39698147	50951830.383516885	51429502.50751137	52987535.48462497	52598250.877391756	55362084.321119174	54665945.10239471	54073915.23684987	55202059.91615651	54047450.78251746	52973348.67691957	54709352.5536435	58901266.89134465	49161132.714734	52997149.87371596	54437575.59316486	57352872.77318466	50488351.050018944	50221765.58370371	52316409.671724744	52894671.45889551	56883796.763482995	54305586.15255237	54239308.13097876	56340308.26506749	55628352.888090976	54010397.341068976	53727888.07959417	54497494.22970592	52361118.00426796	50824023.40960874	50385105.45057944	54543108.059818365	49556573.89541989	53092392.841431916	54224217.878068864	54066215.73529232	52843613.55647977	54314679.01686628	53657941.152504876	54817933.39440713	52069393.32311483	55238040.23735734	53465490.07007694	55750531.62940025	56770561.049364276	50789863.475692354	51651079.77334181	53330895.46198601	55404059.65716928	57448331.844211414	53710144.60067561	52048542.30548671	54218603.11383673	48096787.55877085	53927059.275578424	52879727.364657916	53548680.295463316	54525926.559691556	54595045.34222673	53078128.33464971	53325489.548508905	55184394.363856904	52775535.76508906	55471322.8983298	54215069.16940297	54292714.25932857	55334267.91518071	49423529.93017482	57323769.190237716	54627233.38698755	52358625.57873574	54138220.29804725	54038821.49730195	56111871.84655158	53945288.83560857	55076427.6260529	54553405.47853159	54336768.21045718	55078476.12468852	51851129.784476615	54976963.32230685	56908283.95386991	53870944.87515079	52868383.13643367	59222701.495277494	56234299.692662634	55505881.427714296	53128287.987131655	55113939.83160949	52606014.77125639	53951721.719102226	58196308.00373515	53058430.88350428	52100170.50403669	54605179.3626329	53976746.562794894	54508213.036987886	52477548.948826075	53534923.801532365	54339061.26264263	54453298.68609612	54806854.37955699	54054039.683077924
