1003	272	118	107	0.15	1.0	recombination	phlag_dto_eap01_ena4_rev001_ex	N274	recombination_increase	0.030279887840151787
1003	272	137	88	0.15	1.0	recombination	phlag_dto_eap01_ena4_esp001_ex	N274	recombination_increase	0.030279887840151787
1003	272	169	56	0.15	1.0	population_size_change	phlag_mlt_eap01_ena4_free_ex	N276	10X_down	0.017227191478013992
1004	121	0	375	0.25	1.0	population_size_change	bcbhmm	N709	10X_up	131469.51219512196
1004	121	326	49	0.25	1.0	recombination	gqshmm_ilr	N274	recombination_increase	40714.634146341465
1004	121	327	48	0.25	1.0	recombination	phlag_dto_eap01_ena4_esp001_ex	N418	recombination_increase	0.3128660023212433
1004	121	352	23	0.25	1.0	population_size_change	phlag_dto_eap01_ena4_free_ex	N497	10X_up	0.04682842269539833
1004	121	375	0	0.25	1.0	recombination	phlag_dto_eap01_ena4_esp005_ex	N418	recombination_increase	0.3128660023212433
1004	121	375	0	0.25	1.0	recombination	phlag_dto_eap01_ena4_rev001_ex	N477	recombination_suppression	2.694638252258301
1004	196	300	0	0.2	1.0	recombination	bcbhmm_sc	N555	recombination_increase	207434.14634146343
1004	271	24	201	0.15	1.0	population_size_change	phlag_dto_eap01_ena4_esp001_ex	N616	10X_up	0.07555954903364182
1004	346	118	32	0.1	1.0	recombination	gqshmm_ilr_ex	N690	recombination_increase	45017.07317073172
1004	421	54	21	0.05	1.0	recombination	mlthmm_ex	N717	recombination_suppression	69158.53658536587
1004	421	56	19	0.05	1.0	recombination	mlthmm_ex	N717	recombination_increase	69158.53658536587
1004	466	0	30	0.02	1.0	population_size_change	phlag_dto_eap01_ena4_updated	N532	10X_down	1.2578266859054565
1004	466	17	13	0.02	1.0	population_size_change	cqshmm_ilr_ex	N119	10X_down	190580.48780487807
1005	120	222	153	0.25	1.0	recombination	cqshmm	N690	recombination_increase	45017.07317073172
1005	120	244	131	0.25	1.0	population_size_change	phlag_dto_eap01_ena4_esp005_ex	N459	10X_down	2.489785671234131
1005	120	265	110	0.25	1.0	population_size_change	phlag_mlt_eap01_ena4_esp001_ex	N238	10X_up	0.05501919239759445
1005	120	333	42	0.25	1.0	population_size_change	bcbhmm_ex	N491	10X_down	418762.1951219513
1005	120	375	0	0.25	1.0	population_size_change	phlag_mlt_eap01_ena4_esp005_ex	N459	10X_down	2.489785671234131
1005	195	209	91	0.2	1.0	population_size_change	bcbhmm_sc	N498	10X_down	22050.000000000004
1005	195	238	62	0.2	1.0	population_size_change	cqshmm_ilr	N709	10X_up	131469.51219512196
1005	270	209	16	0.15	1.0	recombination	dtohmm_ex	N397	recombination_increase	179941.46341463417
1005	270	209	16	0.15	1.0	recombination	phlag_dto_noprior_noprior_free_ex	N397	recombination_increase	0.8756588101387024
1005	270	5	220	0.15	1.0	population_size_change	phlag_mlt_eap01_ena4_free_ex	N709	10X_up	0.43284621834754944
