1461 9 30 0 0.02 1.0 bcb-hmm anomaly_case-recombination_suppression-N115 0.02 recombination
1416 9 75 0 0.05 1.0 bcb-hmm anomaly_case-recombination_suppression-N115 0.05 recombination
1350 0 150 0 0.1 1.0 bcb-hmm anomaly_case-recombination_suppression-N115 0.10 recombination
1266 9 225 0 0.15 1.0 bcb-hmm anomaly_case-recombination_suppression-N115 0.15 recombination
1200 0 300 0 0.2 1.0 bcb-hmm anomaly_case-recombination_suppression-N115 0.20 recombination
1118 7 375 0 0.25 1.0 bcb-hmm anomaly_case-recombination_suppression-N115 0.25 recombination
1354 116 30 0 0.02 1.0 dto-hmm anomaly_case-recombination_suppression-N115 0.02 recombination
1425 0 75 0 0.05 1.0 dto-hmm anomaly_case-recombination_suppression-N115 0.05 recombination
1321 29 150 0 0.1 1.0 dto-hmm anomaly_case-recombination_suppression-N115 0.10 recombination
1238 37 225 0 0.15 1.0 dto-hmm anomaly_case-recombination_suppression-N115 0.15 recombination
1174 26 300 0 0.2 1.0 dto-hmm anomaly_case-recombination_suppression-N115 0.20 recombination
1102 23 375 0 0.25 1.0 dto-hmm anomaly_case-recombination_suppression-N115 0.25 recombination
1437 33 30 0 0.02 1.0 mlt-hmm anomaly_case-recombination_suppression-N115 0.02 recombination
1393 32 75 0 0.05 1.0 mlt-hmm anomaly_case-recombination_suppression-N115 0.05 recombination
1321 29 150 0 0.1 1.0 mlt-hmm anomaly_case-recombination_suppression-N115 0.10 recombination
1247 28 225 0 0.15 1.0 mlt-hmm anomaly_case-recombination_suppression-N115 0.15 recombination
1174 26 300 0 0.2 1.0 mlt-hmm anomaly_case-recombination_suppression-N115 0.20 recombination
1102 23 375 0 0.25 1.0 mlt-hmm anomaly_case-recombination_suppression-N115 0.25 recombination
1467 3 0 30 0.02 1.0 pbp-hmm anomaly_case-recombination_suppression-N115 0.02 recombination
1425 0 0 75 0.05 1.0 pbp-hmm anomaly_case-recombination_suppression-N115 0.05 recombination
1350 0 0 150 0.1 1.0 pbp-hmm anomaly_case-recombination_suppression-N115 0.10 recombination
1275 0 0 225 0.15 1.0 pbp-hmm anomaly_case-recombination_suppression-N115 0.15 recombination
1200 0 0 300 0.2 1.0 pbp-hmm anomaly_case-recombination_suppression-N115 0.20 recombination
1125 0 0 375 0.25 1.0 pbp-hmm anomaly_case-recombination_suppression-N115 0.25 recombination
1467 3 0 30 0.02 1.0 cbp-hmm anomaly_case-recombination_suppression-N115 0.02 recombination
1425 0 0 75 0.05 1.0 cbp-hmm anomaly_case-recombination_suppression-N115 0.05 recombination
1350 0 0 150 0.1 1.0 cbp-hmm anomaly_case-recombination_suppression-N115 0.10 recombination
1275 0 0 225 0.15 1.0 cbp-hmm anomaly_case-recombination_suppression-N115 0.15 recombination
1200 0 0 300 0.2 1.0 cbp-hmm anomaly_case-recombination_suppression-N115 0.20 recombination
1125 0 0 375 0.25 1.0 cbp-hmm anomaly_case-recombination_suppression-N115 0.25 recombination
1470 0 30 0 0.02 1.0 bcb-hmm anomaly_case-recombination_suppression-N125 0.02 recombination
1425 0 75 0 0.05 1.0 bcb-hmm anomaly_case-recombination_suppression-N125 0.05 recombination
1350 0 150 0 0.1 1.0 bcb-hmm anomaly_case-recombination_suppression-N125 0.10 recombination
1275 0 225 0 0.15 1.0 bcb-hmm anomaly_case-recombination_suppression-N125 0.15 recombination
1200 0 300 0 0.2 1.0 bcb-hmm anomaly_case-recombination_suppression-N125 0.20 recombination
1125 0 375 0 0.25 1.0 bcb-hmm anomaly_case-recombination_suppression-N125 0.25 recombination
1470 0 30 0 0.02 1.0 dto-hmm anomaly_case-recombination_suppression-N125 0.02 recombination
1425 0 75 0 0.05 1.0 dto-hmm anomaly_case-recombination_suppression-N125 0.05 recombination
1350 0 150 0 0.1 1.0 dto-hmm anomaly_case-recombination_suppression-N125 0.10 recombination
1275 0 225 0 0.15 1.0 dto-hmm anomaly_case-recombination_suppression-N125 0.15 recombination
1200 0 300 0 0.2 1.0 dto-hmm anomaly_case-recombination_suppression-N125 0.20 recombination
1125 0 375 0 0.25 1.0 dto-hmm anomaly_case-recombination_suppression-N125 0.25 recombination
1470 0 30 0 0.02 1.0 mlt-hmm anomaly_case-recombination_suppression-N125 0.02 recombination
1425 0 75 0 0.05 1.0 mlt-hmm anomaly_case-recombination_suppression-N125 0.05 recombination
1350 0 150 0 0.1 1.0 mlt-hmm anomaly_case-recombination_suppression-N125 0.10 recombination
1275 0 225 0 0.15 1.0 mlt-hmm anomaly_case-recombination_suppression-N125 0.15 recombination
1200 0 300 0 0.2 1.0 mlt-hmm anomaly_case-recombination_suppression-N125 0.20 recombination
1125 0 375 0 0.25 1.0 mlt-hmm anomaly_case-recombination_suppression-N125 0.25 recombination
1470 0 0 30 0.02 1.0 pbp-hmm anomaly_case-recombination_suppression-N125 0.02 recombination
1425 0 0 75 0.05 1.0 pbp-hmm anomaly_case-recombination_suppression-N125 0.05 recombination
1350 0 0 150 0.1 1.0 pbp-hmm anomaly_case-recombination_suppression-N125 0.10 recombination
1275 0 0 225 0.15 1.0 pbp-hmm anomaly_case-recombination_suppression-N125 0.15 recombination
1200 0 0 300 0.2 1.0 pbp-hmm anomaly_case-recombination_suppression-N125 0.20 recombination
1125 0 0 375 0.25 1.0 pbp-hmm anomaly_case-recombination_suppression-N125 0.25 recombination
1470 0 0 30 0.02 1.0 cbp-hmm anomaly_case-recombination_suppression-N125 0.02 recombination
1425 0 0 75 0.05 1.0 cbp-hmm anomaly_case-recombination_suppression-N125 0.05 recombination
