1347	3	150	0	0.1	1.0	admixture	bcbhmm_ancestral	N546	025	N532	N567	63752.439024390245
1055	295	91	59	0.1	1.0	admixture	cqshmm_ex_ancestral	N546	025	N532	N567	63752.439024390245
1344	6	2	148	0.1	1.0	admixture	phlag_dto_eap01_ena4_esp001_derived	N546	025	N532	N567	0.27468371391296387
1332	18	0	150	0.1	1.0	admixture	cqshmm_derived	N546	025	N532	N567	63752.439024390245
896	454	29	121	0.1	1.0	admixture	pbphmm_ex_ancestral	N546	025	N532	N567	63752.439024390245
1175	175	80	70	0.1	1.0	admixture	cqshmm_ancestral	N546	025	N532	N567	63752.439024390245
1126	224	136	14	0.1	1.0	admixture	gqshmm_ex	N546	025	N532	N567	63752.439024390245
1349	1	0	150	0.1	1.0	admixture	pbphmm_ex_derived	N546	025	N532	N567	63752.439024390245
1257	93	80	70	0.1	1.0	admixture	mlthmm_derived	N546	025	N532	N567	63752.439024390245
1470	0	30	0	0.02	1.0	admixture	dtohmm_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	pbphmm_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1218	252	0	30	0.02	1.0	admixture	phlag_dto_eap01_ena4_esp001_ex_derived	Falconiformes	025	Cariamiformes	Psittaciformes	6.3575029373168945
1470	0	30	0	0.02	1.0	admixture	pbphmm_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1468	2	30	0	0.02	1.0	admixture	gqshmm_ex_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	gqshmm_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	gqshmm_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
808	662	8	22	0.02	1.0	admixture	cqshmm_ex_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	bcbhmm_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
741	729	13	17	0.02	1.0	admixture	mlthmm_ex_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	mlthmm_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1041	429	25	5	0.02	1.0	admixture	dtohmm_ex_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
852	618	14	16	0.02	1.0	admixture	bcbhmm_ex_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
848	622	13	17	0.02	1.0	admixture	mlthmm_ex_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
749	721	14	16	0.02	1.0	admixture	bcbhmm_ex_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
788	682	13	17	0.02	1.0	admixture	dtohmm_ex_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
983	487	1	29	0.02	1.0	admixture	gqshmm_ex_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	dtohmm_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	bcbhmm_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1030	440	25	5	0.02	1.0	admixture	cqshmm_ex_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	phlag_dto_eap01_ena4_esp001_derived	Falconiformes	025	Cariamiformes	Psittaciformes	6.3575029373168945
1470	0	30	0	0.02	1.0	admixture	cqshmm_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1294	176	21	9	0.02	1.0	admixture	pbphmm_ex_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	cqshmm_ancestral	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1335	135	23	7	0.02	1.0	admixture	pbphmm_ex_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1470	0	30	0	0.02	1.0	admixture	mlthmm_derived	Falconiformes	025	Cariamiformes	Psittaciformes	3730895.12195122
1020	450	21	9	0.02	1.0	admixture	dtohmm_ancestral	Strigiformes	050	N349	N299	945508.536585366
1006	464	17	13	0.02	1.0	admixture	phlag_dto_eap01_ena4_esp001_ex_ancestral	Strigiformes	050	N349	N299	1.7100260257720947
1470	0	30	0	0.02	1.0	admixture	pbphmm_derived	Strigiformes	050	N349	N299	945508.536585366
1049	421	30	0	0.02	1.0	admixture	phlag_dto_eap01_ena4_esp001_ex_derived	Strigiformes	050	N349	N299	1.7100260257720947
1388	82	30	0	0.02	1.0	admixture	pbphmm_ancestral	Strigiformes	050	N349	N299	945508.536585366
1467	3	30	0	0.02	1.0	admixture	gqshmm_ex_derived	Strigiformes	050	N349	N299	945508.536585366
888	582	22	8	0.02	1.0	admixture	gqshmm_ancestral	Strigiformes	050	N349	N299	945508.536585366
1196	274	24	6	0.02	1.0	admixture	gqshmm_derived	Strigiformes	050	N349	N299	945508.536585366
962	508	17	13	0.02	1.0	admixture	cqshmm_ex_derived	Strigiformes	050	N349	N299	945508.536585366
