edge	TN	FP	FN	TP	p	r	type	method	time	rate	blen_est	recall	precision	f1	acc	fpr	fnr	divergence	SUNIT	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN
Cariamiformes	882	543	44	31	0.05	1	admixture	gqshmm	6099554	090	6758378.04878049	0.413333333333333	0.054006968641115	0.0955315870570108	0.608666666666667	0.381052631578947	0.586666666666667	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	1425	0	75	0	0.05	1	admixture	pbphmm	6099554	090	6758378.04878049	0	NA	0	0.95	0	1	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	566	559	190	185	0.25	1	admixture	bcbhmm_ex	6099554	090	6758378.04878049	0.493333333333333	0.248655913978495	0.33065236818588	0.500666666666667	0.496888888888889	0.506666666666667	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	1107	18	369	6	0.25	1	admixture	pbphmm_ex	6099554	090	6758378.04878049	0.016	0.25	0.0300751879699248	0.742	0.016	0.984	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	1040	385	51	24	0.05	1	admixture	bcbhmm	6099554	090	6758378.04878049	0.32	0.058679706601467	0.0991735537190083	0.709333333333333	0.270175438596491	0.68	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	752	673	46	29	0.05	1	admixture	bcbhmm_ex	6099554	090	6758378.04878049	0.386666666666667	0.0413105413105413	0.0746460746460746	0.520666666666667	0.472280701754386	0.613333333333333	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	668	457	197	178	0.25	1	admixture	mlthmm	6099554	090	6758378.04878049	0.474666666666667	0.280314960629921	0.352475247524752	0.564	0.406222222222222	0.525333333333333	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	616	509	193	182	0.25	1	admixture	cqshmm_ex	6099554	090	6758378.04878049	0.485333333333333	0.263386396526773	0.341463414634146	0.532	0.452444444444444	0.514666666666667	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	1010	115	375	0	0.25	1	admixture	phlag_dto_eap01_ena4_esp001	6099554	090	6.90845394134521	0	0	0	0.673333333333333	0.102222222222222	1	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	665	460	361	14	0.25	1	admixture	gqshmm_ex	6099554	090	6758378.04878049	0.0373333333333333	0.029535864978903	0.032979976442874	0.452666666666667	0.408888888888889	0.962666666666667	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	862	263	274	101	0.25	1	admixture	dtohmm	6099554	090	6758378.04878049	0.269333333333333	0.277472527472527	0.273342354533153	0.642	0.233777777777778	0.730666666666667	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	1379	46	70	5	0.05	1	admixture	pbphmm_ex	6099554	090	6758378.04878049	0.0666666666666667	0.0980392156862745	0.0793650793650794	0.922666666666667	0.032280701754386	0.933333333333333	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	645	555	183	117	0.2	1	admixture	mlthmm_ex	6099554	090	6758378.04878049	0.39	0.174107142857143	0.240740740740741	0.508	0.4625	0.61	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	708	417	211	164	0.25	1	admixture	gqshmm	6099554	090	6758378.04878049	0.437333333333333	0.282271944922547	0.343096234309623	0.581333333333333	0.370666666666667	0.562666666666667	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	1125	0	365	10	0.25	1	admixture	pbphmm	6099554	090	6758378.04878049	0.0266666666666667	1	0.051948051948052	0.756666666666667	0	0.973333333333333	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	564	561	193	182	0.25	1	admixture	dtohmm_ex	6099554	090	6758378.04878049	0.485333333333333	0.244952893674293	0.325581395348837	0.497333333333333	0.498666666666667	0.514666666666667	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	796	329	279	96	0.25	1	admixture	mlthmm_ex	6099554	090	6758378.04878049	0.256	0.225882352941176	0.24	0.594666666666667	0.292444444444444	0.744	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	998	427	51	24	0.05	1	admixture	cqshmm	6099554	090	6758378.04878049	0.32	0.0532150776053215	0.091254752851711	0.681333333333333	0.299649122807018	0.68	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	820	305	271	104	0.25	1	admixture	cqshmm	6099554	090	6758378.04878049	0.277333333333333	0.254278728606357	0.26530612244898	0.616	0.271111111111111	0.722666666666667	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	848	622	16	14	0.02	1	admixture	bcbhmm_ex	6099554	090	6758378.04878049	0.466666666666667	0.0220125786163522	0.042042042042042	0.574666666666667	0.42312925170068	0.533333333333333	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	1418	52	27	3	0.02	1	admixture	pbphmm_ex	6099554	090	6758378.04878049	0.1	0.0545454545454545	0.0705882352941176	0.947333333333333	0.035374149659864	0.9	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	984	366	111	39	0.1	1	admixture	bcbhmm	6099554	090	6758378.04878049	0.26	0.0962962962962963	0.140540540540541	0.682	0.271111111111111	0.74	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	671	679	81	69	0.1	1	admixture	bcbhmm_ex	6099554	090	6758378.04878049	0.46	0.0922459893048128	0.153674832962138	0.493333333333333	0.502962962962963	0.54	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
Cariamiformes	1300	50	137	13	0.1	1	admixture	pbphmm_ex	6099554	090	6758378.04878049	0.0866666666666667	0.206349206349206	0.122065727699531	0.875333333333333	0.037037037037037	0.913333333333333	427476	0.042357	697991.346534521	5541869.999999999	2	6313292	2	8528132	8	7084714
