3 0 0
347 118 .3401
354 104 .2938
353 110 .3116
335 110 .3284
347 95 .2738
351 117 .3333
352 113 .321
347 110 .317
333 111 .3333
352 126 .358
100 23 .23
117 31 .265
304 108 .3553
338 102 .3018
360 124 .3444
355 119 .3352
324 108 .3333
344 117 .3401
350 109 .3114
358 121 .338
360 120 .3333
360 123 .3417
353 110 .3116
334 113 .3383
351 112 .3191
337 115 .3412
352 102 .2898
343 123 .3586
328 110 .3354
360 123 .3417
173 44 .2543
360 109 .3028
360 110 .3056
358 112 .3128
359 118 .3287
205 52 .2537
360 115 .3194
359 116 .3231
360 134 .3722
355 132 .3718
354 115 .3249
359 125 .3482
338 122 .3609
358 131 .3659
360 121 .3361
355 134 .3775
361 124 .3435
361 117 .3241
360 133 .3694
361 106 .2936
361 121 .3352
360 117 .325
351 119 .339
358 115 .3212
343 112 .3265
361 124 .3435
361 122 .338
361 121 .3352
361 132 .3657
361 106 .2936
360 114 .3167
356 119 .3343
361 106 .2936
361 112 .3102
359 122 .3398
361 117 .3241
358 109 .3045
361 120 .3324
356 106 .2978
336 135 .4018
345 126 .3652
358 126 .352
351 133 .3789
343 114 .3324
348 115 .3305
341 143 .4194
346 118 .341
357 114 .3193
320 89 .2781
352 119 .3381
341 108 .3167
359 125 .3482
324 116 .358
354 120 .339
357 122 .3417
358 120 .3352
358 115 .3212
361 104 .2881
352 116 .3295
360 127 .3528
360 114 .3167
352 125 .3551
360 109 .3028
359 116 .3231
312 89 .2853
359 114 .3175
346 116 .3353
351 116 .3305
352 118 .3352
358 126 .352
355 114 .3211
358 118 .3296
360 116 .3222
357 108 .3025
355 114 .3211
360 118 .3278
349 119 .341
350 110 .3143
349 112 .3209
355 117 .3296
356 133 .3736
335 107 .3194
348 109 .3132
353 112 .3173
351 114 .3248
352 113 .321
359 123 .3426
336 102 .3036
354 125 .3531
336 114 .3393
359 130 .3621
321 134 .4174
355 110 .3099
360 133 .3694
359 151 .4206
360 122 .3389
352 115 .3267
350 110 .3143
359 119 .3315
358 116 .324
360 126 .35
361 123 .3407
360 113 .3139
358 142 .3966
358 128 .3575
360 130 .3611
347 134 .3862
355 114 .3211
361 114 .3158
359 126 .351
357 135 .3782
361 116 .3213
358 119 .3324
345 106 .3072
360 117 .325
360 112 .3111
359 151 .4206
355 115 .3239
351 116 .3305
351 118 .3362
359 125 .3482
361 129 .3573
361 114 .3158
349 118 .3381
341 120 .3519
358 128 .3575
360 115 .3194
360 122 .3389
360 117 .325
358 125 .3492
346 101 .2919
361 134 .3712
360 122 .3389
359 126 .351
361 128 .3546
356 154 .4326
357 123 .3445
262 88 .3359
361 117 .3241
336 116 .3452
361 127 .3518
360 136 .3778
361 130 .3601
357 120 .3361
360 126 .35
360 134 .3722
354 116 .3277
358 128 .3575
353 127 .3598
359 120 .3343
357 107 .2997
360 152 .4222
359 131 .3649
359 141 .3928
326 121 .3712
361 115 .3186
361 120 .3324
357 127 .3557
360 132 .3667
358 133 .3715
361 128 .3546
361 115 .3186
350 115 .3286
359 120 .3343
359 121 .337
358 120 .3352
361 117 .3241
349 108 .3095
357 119 .3333
359 133 .3705
350 125 .3571
359 112 .312
358 117 .3268
360 121 .3361
360 129 .3583
361 121 .3352
144 47 .3264
360 127 .3528
360 141 .3917
355 125 .3521
357 114 .3193
360 121 .3361
156 35 .2244
358 119 .3324
356 116 .3258
354 120 .339
360 130 .3611
361 112 .3102
360 131 .3639
343 121 .3528
358 124 .3464
344 116 .3372
354 131 .3701
352 126 .358
337 119 .3531
355 121 .3408
347 116 .3343
351 114 .3248
346 126 .3642
354 115 .3249
360 127 .3528
360 116 .3222
360 113 .3139
360 123 .3417
360 117 .325
349 113 .3238
359 130 .3621
361 127 .3518
360 139 .3861
361 135 .374
361 130 .3601
358 116 .324
361 142 .3934
359 119 .3315
361 119 .3296
354 120 .339
360 112 .3111
318 94 .2956
359 114 .3175
361 133 .3684
361 122 .338
360 120 .3333
360 122 .3389
358 119 .3324
359 105 .2925
361 130 .3601
355 120 .338
361 129 .3573
360 113 .3139
361 125 .3463
361 121 .3352
349 120 .3438
356 124 .3483
350 116 .3314
359 114 .3175
361 128 .3546
358 135 .3771
360 122 .3389
355 107 .3014
360 114 .3167
360 119 .3306
361 138 .3823
361 136 .3767
357 137 .3838
361 115 .3186
361 129 .3573
361 138 .3823
361 114 .3158
355 118 .3324
355 94 .2648
361 140 .3878
361 117 .3241
361 122 .338
357 126 .3529
361 139 .385
360 127 .3528
361 135 .374
361 126 .349
361 113 .313
361 119 .3296
359 161 .4485
360 134 .3722
346 108 .3121
358 117 .3268
360 121 .3361
360 123 .3417
358 138 .3855
361 119 .3296
356 115 .323
349 127 .3639
358 123 .3436
347 114 .3285
359 124 .3454
359 115 .3203
356 127 .3567
357 115 .3221
347 112 .3228
358 112 .3128
359 114 .3175
329 115 .3495
360 112 .3111
360 115 .3194
331 112 .3384
361 102 .2825
361 154 .4266
361 133 .3684
361 140 .3878
359 134 .3733
360 124 .3444
360 138 .3833
360 124 .3444
361 125 .3463
358 131 .3659
249 77 .3092
361 155 .4294
361 154 .4266
353 131 .3711
356 136 .382
360 131 .3639
357 147 .4118
352 112 .3182
358 112 .3128
360 138 .3833
354 117 .3305
354 129 .3644
360 158 .4389
357 133 .3725
360 137 .3806
361 157 .4349
351 124 .3533
361 119 .3296
361 129 .3573
361 132 .3657
361 156 .4321
358 115 .3212
354 130 .3672
352 125 .3551
358 132 .3687
359 150 .4178
360 129 .3583
361 147 .4072
360 122 .3389
353 122 .3456
351 128 .3647
352 145 .4119
360 143 .3972
361 131 .3629
360 160 .4444
351 175 .4986
360 123 .3417
360 125 .3472
358 158 .4413
359 131 .3649
355 111 .3127
358 157 .4385
360 151 .4194
361 118 .3269
360 154 .4278
358 145 .405
358 129 .3603
361 141 .3906
361 154 .4266
359 108 .3008
360 115 .3194
354 142 .4011
359 169 .4708
359 125 .3482
361 121 .3352
357 146 .409
361 137 .3795
361 124 .3435
361 115 .3186
360 143 .3972
358 154 .4302
358 132 .3687
355 127 .3577
358 125 .3492
359 112 .312
361 139 .385
347 185 .5331
347 140 .4035
348 143 .4109
340 98 .2882
340 124 .3647
357 120 .3361
361 121 .3352
358 194 .5419
361 127 .3518
361 124 .3435
357 112 .3137
361 143 .3961
360 137 .3806
361 134 .3712
361 219 .6066
360 120 .3333
358 112 .3128
352 122 .3466
357 139 .3894
355 149 .4197
348 121 .3477
359 120 .3343
356 121 .3399
348 126 .3621
350 167 .4771
356 198 .5562
360 122 .3389
359 124 .3454
358 179 .5
352 113 .321
345 114 .3304
358 142 .3966
360 133 .3694
361 158 .4377
355 117 .3296
359 124 .3454
357 138 .3866
361 125 .3463
361 130 .3601
359 142 .3955
359 167 .4652
357 143 .4006
357 131 .3669
358 142 .3966
360 130 .3611
359 122 .3398
361 125 .3463
352 120 .3409
347 124 .3573
361 124 .3435
360 129 .3583
350 117 .3343
358 126 .352
358 120 .3352
360 155 .4306
359 121 .337
359 116 .3231
357 105 .2941
361 135 .374
360 143 .3972
360 106 .2944
361 111 .3075
361 125 .3463
361 125 .3463
361 134 .3712
361 125 .3463
360 139 .3861
359 128 .3565
359 139 .3872
360 122 .3389
361 114 .3158
349 131 .3754
361 129 .3573
342 122 .3567
360 131 .3639
343 117 .3411
360 128 .3556
361 139 .385
357 109 .3053
359 123 .3426
359 127 .3538
359 139 .3872
353 106 .3003
359 126 .351
5 1 .2
359 125 .3482
359 117 .3259
361 134 .3712
353 123 .3484
343 118 .344
351 127 .3618
360 120 .3333
360 120 .3333
361 127 .3518
360 128 .3556
361 134 .3712
360 122 .3389
358 115 .3212
341 114 .3343
344 128 .3721
341 104 .305
361 135 .374
361 125 .3463
359 122 .3398
319 101 .3166
359 134 .3733
361 162 .4488
359 112 .312
334 117 .3503
359 121 .337
360 122 .3389
333 107 .3213
361 133 .3684
361 125 .3463
358 131 .3659
359 144 .4011
360 125 .3472
361 132 .3657
360 120 .3333
300 107 .3567
337 117 .3472
359 123 .3426
359 121 .337
350 121 .3457
323 101 .3127
358 136 .3799
357 125 .3501
346 120 .3468
337 114 .3383
357 109 .3053
346 121 .3497
355 149 .4197
360 140 .3889
246 76 .3089
130 40 .3077
8 1 .125
347 116 .3343
332 126 .3795
361 126 .349
358 139 .3883
330 109 .3303
358 126 .352
361 130 .3601
361 113 .313
361 131 .3629
201 62 .3085
143 45 .3147
358 126 .352
356 115 .323
359 141 .3928
351 110 .3134
354 119 .3362
201 63 .3134
356 109 .3062
360 120 .3333
357 117 .3277
359 126 .351
360 130 .3611
196 52 .2653
347 131 .3775
361 152 .4211
357 125 .3501
361 129 .3573
353 120 .3399
360 121 .3361
340 115 .3382
360 133 .3694
294 113 .3844
208 63 .3029
358 140 .3911
361 137 .3795
360 139 .3861
358 135 .3771
360 132 .3667
356 119 .3343
356 138 .3876
208 57 .274
358 105 .2933
359 129 .3593
332 113 .3404
357 120 .3361
345 124 .3594
358 118 .3296
361 121 .3352
353 133 .3768
355 134 .3775
274 89 .3248
128 48 .375
332 115 .3464
357 122 .3417
340 109 .3206
272 100 .3676
183 56 .306
226 66 .292
192 48 .25
344 108 .314
184 53 .288
345 174 .5043
226 64 .2832
216 63 .2917
163 43 .2638
60 12 .2
177 48 .2712
165 48 .2909
285 103 .3614
201 56 .2786
226 70 .3097
359 170 .4735
351 136 .3875
168 49 .2917
121 37 .3058
233 82 .3519
222 80 .3604
240 82 .3417
209 56 .2679
203 49 .2414
176 53 .3011
227 71 .3128
39 10 .2564
350 155 .4429
340 132 .3882
321 105 .3271
350 133 .38
358 160 .4469
353 122 .3456
334 119 .3563
335 138 .4119
