N546	N532	N567	269139.0243902439	False
N546	N532	N567	269139.0243902439	False
N546	N532	N567	269139.0243902439	False
Opisthocomushoazin	N275	N192	7956365.853658537	True
Opisthocomushoazin	N275	N192	7956365.853658537	True
Opisthocomushoazin	N275	N192	7956365.853658537	True
Opisthocomushoazin	N275	N192	7956365.853658537	True
N689	N657	N672	378175.6097560976	False
N689	N657	N672	378175.6097560976	False
N689	N657	N672	378175.6097560976	False
N689	N657	N672	378175.6097560976	False
Coraciiformes	Bucerotiformes	Piciformes	614857.3170731708	False
Coraciiformes	Bucerotiformes	Piciformes	614857.3170731708	False
Coraciiformes	Bucerotiformes	Piciformes	614857.3170731708	False
Coraciiformes	Bucerotiformes	Piciformes	614857.3170731708	False
