LABEL	SRATE
N250	0.009777
N251	0.0006
N252	0.001368
Fregata_magnificens	0.034244
Sula_dactylatra	0.037085
Anhinga_anhinga	0.01907
Anhinga_rufa	0.019191
N257	0.013718
Phalacrocorax_carbo	0.005793
Phalacrocorax_pelagicus	0.005707
N260	0.000661
Phalacrocorax_harrisi	0.003407
Phalacrocorax_auritus	0.001645
Phalacrocorax_brasilianus	0.001583
N264	0.001194
N265	0.002148
N266	0.01274
N267	0.003502
N268	0.016328
N269	0.005108
N270	0.001577
Pelecaniformes	0.001412
N272	0.003605
N273	0.004535
N274	0.001123
N275	0.000427
N276	0.000381
Tyto_alba	0.063653
Glaucidium_brasilianum	0.037291
Ciccaba_nigrolineata	0.000916
Strix_occidentalis	0.000832
N281	0.014914
N282	0.024084
Strigiformes	0.0108
Cathartes_aura	0.034275
Sagittarius_serpentarius	0.046003
Pandion_haliaetus	0.03574
Circaetus_pectoralis	0.011406
Haliaeetus_albicilla	0.00033
Haliaeetus_leucocephalus	0.000377
N290	0.003537
Aquila_chrysaetos	0.004831
Spizaetus_tyrannus	0.005529
N293	0.004852
N294	0.001284
N295	0.012118
N296	0.008916
N297	0.008832
Accipitriformes	0.002415
N299	0.000842
Colius_striatus	0.028148
Urocolius_indicus	0.032478
Coliiformes	0.088714
Leptosomus_discolor	0.072346
Apaloderma_vittatum	0.029018
Trogon_melanurus	0.026245
Trogoniformes	0.075673
Buceros_rhinoceros	0.043374
Bucorvus_abyssinicus	0.02782
N309	0.042399
Rhinopomastus_cyanomelas	0.092831
Upupa_epops	0.088847
N312	0.080891
Bucerotiformes	0.012765
Merops_nubicus	0.099795
Brachypteracias_leptosomus	0.056888
Eurystomus_gularis	0.050625
N317	0.019973
N318	0.002782
Todus_mexicanus	0.088045
Baryphthengus_martii	0.079944
Ceyx_cyanopectus	0.088837
Chloroceryle_aenea	0.062109
Halcyon_senegalensis	0.04342
N324	0.001628
N325	0.015624
N326	0.005192
N327	0.009885
Coraciiformes	0.010104
Bucco_capensis	0.087521
Galbula_dea	0.080933
N331	0.021587
Picoides_pubescens	0.052484
Indicator_maculatus	0.044251
N334	0.016626
Psilopogon_haemacephalus	0.065776
Tricholaema_leucomelas	0.058739
Eubucco_bourcierii	0.029816
Ramphastos_sulfuratus	0.018351
Semnornis_frantzii	0.02872
N340	0.002416
N341	0.027547
N342	0.003101
N343	0.016897
N344	0.065009
Piciformes	0.009609
N346	0.003388
N347	0.004387
N348	0.001846
N349	0.002496
N350	0.001193
N351	0.000893
Cariama_cristata	0.007547
Chunga_burmeisteri	0.007436
Cariamiformes	0.042357
Herpetotheres_cachinnans	0.026568
Falco_cherrug	0.000911
Falco_peregrinus	0.000878
N358	0.025004
Falconiformes	0.028205
Nestor_notabilis	0.042144
Eolophus_roseicapillus	0.013817
Probosciger_aterrimus	0.014906
N363	0.016941
Amazona_guildingii	0.041241
Agapornis_roseicollis	0.038954
Melopsittacus_undulatus	0.03545
N367	0.007787
N368	0.006438
N369	0.011942
Psittaciformes	0.051867
Acanthisitta_chloris	0.084476
Neodrepanis_coruscans	0.046411
Serilophus_lunatus	0.046582
N374	0.016576
Sapayoa_aenigma	0.056431
Pitta_sordida	0.076499
N377	0.002186
Calyptomena_viridis	0.041018
Smithornis_capensis	0.050005
N380	0.008196
N381	0.001488
N382	0.009583
Rhegmatorhina_hoffmannsi	0.020314
Sakesphorus_luctuosus	0.019421
N385	0.042126
Grallaria_varia	0.060626
Scytalopus_superciliaris	0.049577
Formicarius_rufipectus	0.068581
Sclerurus_mexicanus	0.030737
Furnarius_figulus	0.031464
Campylorhamphus_procurvoides	0.011942
Xiphorhynchus_elegans	0.010568
N393	0.019632
N394	0.004339
N395	0.012737
N396	0.001381
N397	0.003336
N398	0.002929
N399	0.013187
Lepidothrix_coronata	0.010415
Manacus_manacus	0.011504
N402	0.008925
Cephalopterus_ornatus	0.038337
Pachyramphus_minor	0.04424
Onychorhynchus_coronatus	0.039351
Oxyruncus_cristatus	0.037912
N407	0.001862
Piprites_chloris	0.042481
Neopipo_cinnamomea	0.031563
Tachuris_rubrigastra	0.038954
Mionectes_macconnelli	0.045877
Tyrannus_savana	0.036381
N413	0.001731
N414	0.000999
N415	0.002761
N416	0.004163
N417	0.000785
N418	0.001812
N419	0.002102
N420	0.003198
N421	0.006412
N422	0.009343
Atrichornis_clamosus	0.04636
Menura_novaehollandiae	0.031769
N425	0.014771
Climacteris_rufus	0.059451
Ptilonorhynchus_violaceus	0.045921
N428	0.006901
Malurus_elegans	0.070123
Dasyornis_broadbenti	0.046536
Grantiella_picta	0.048837
Origma_solitaria	0.040366
Pardalotus_punctatus	0.040265
N434	0.005081
N435	0.001538
N436	0.004565
N437	0.008316
Orthonyx_spaldingii	0.046662
Pomatostomus_ruficeps	0.058213
N440	0.003003
Ptilorrhoa_leucosticta	0.036374
Edolisoma_coerulescens	0.033765
Chaetorhynchus_papuensis	0.025366
Rhipidura_dahli	0.038301
N445	0.00605
Dicrurus_megarhynchus	0.028494
Myiagra_hebetior	0.03465
Struthidea_cinerea	0.028062
Ifrita_kowaldi	0.028201
Paradisaea_raggiana	0.024167
N451	0.001005
N452	0.000613
Lanius_ludovicianus	0.041767
Aphelocoma_coerulescens	0.012555
Corvus_moneduloides	0.003262
Corvus_brachyrhynchos	0.000789
Corvus_cornix	0.000603
N458	0.001598
N459	0.005909
N460	0.007654
N461	0.003488
N462	7.1e-05
N463	0.001316
N464	0.000382
N465	0.006923
Mohoua_ochrocephala	0.035762
Machaerirhynchus_nigripectus	0.032691
Gymnorhina_tibicen	0.027472
Rhagologus_leucostigma	0.025725
Dryoscopus_gambensis	0.030501
Dyaphorophyia_castanea	0.031873
Mystacornis_crossleyi	0.033292
N473	0.001757
N474	0.002321
N475	0.001274
N476	0.000578
N477	0.007118
Daphoenositta_chrysoptera	0.040517
Eulacestoma_nigropectus	0.034691
Aleadryas_rufinucha	0.03074
Falcunculus_frontatus	0.03208
N482	0.003851
Pachycephala_philippinensis	0.031543
Oriolus_oriolus	0.035375
N485	0.002031
Oreocharis_arfaki	0.041785
Pteruthius_melanotis	0.036403
Erpornis_zantholeuca	0.034175
Vireo_altiloquus	0.032201
N490	0.006275
N491	0.007101
N492	0.00142
N493	0.000597
N494	0.000645
N495	0.001555
N496	0.000604
N497	0.000743
N498	0.000521
N499	0.000871
N500	0.003877
N501	0.00592
Cnemophilus_loriae	0.041884
Melanocharis_versteri	0.042705
Callaeas_wilsoni	0.037731
Notiomystis_cincta	0.050235
N506	0.004759
Drymodes_brunneopygia	0.052195
Chaetops_frenatus	0.037812
Picathartes_gymnocephalus	0.031696
N510	0.015207
N511	0.00205
Anthoscopus_minutus	0.05308
Poecile_atricapillus	0.013457
Parus_major	0.012051
Pseudopodoces_humilis	0.009877
N516	0.004339
N517	0.022744
N518	0.006848
Alaudala_cheleensis	0.048972
Panurus_biarmicus	0.043338
N521	0.003989
Nicator_chloris	0.045374
Sylvietta_virens	0.04485
Cisticola_juncidis	0.056819
Acrocephalus_arundinaceus	0.014892
Hippolais_icterina	0.016839
N527	0.014041
Locustella_ochotensis	0.04061
Oxylabes_madagascariensis	0.032081
Donacobius_atricapilla	0.041306
N531	0.000975
N532	0.00497
N533	0.000812
Hirundo_rustica	0.052375
Phylloscopus_trochilus	0.019381
Rhadina_sibilatrix	0.018362
N537	0.014303
Hylia_prasina	0.038752
Aegithalos_caudatus	0.042278
Erythrocercus_mccallii	0.035281
Cettia_cetti	0.024217
Horornis_vulcanius	0.022
N543	0.010985
N544	0.003296
N545	0.001543
N546	0.002082
N547	0.003647
Brachypodius_atriceps	0.02392
Pycnonotus_jocosus	0.023289
N550	0.017845
Sinosuthora_webbiana	0.028056
Sylvia_atricapilla	0.017204
Sylvia_borin	0.014675
N554	0.008637
N555	0.004857
Sterrhoptilus_dennistouni	0.01199
Zosterops_hypoxanthus	0.003074
Zosterops_lateralis	0.002828
N559	0.00739
N560	0.017262
Pomatorhinus_ruficollis	0.028916
Illadopsis_cleaveri	0.027175
Leiothrix_lutea	0.030129
N564	0.002335
N565	0.002255
N566	0.00252
N567	0.006087
N568	0.002081
N569	0.000746
N570	0.001073
N571	0.000505
N572	0.00217
N573	0.002299
N574	0.000744
N575	0.004547
N576	0.001351
Bombycilla_garrulus	0.03684
Phainopepla_nitens	0.029256
N579	0.013149
Regulus_satrapa	0.069698
Tichodroma_muraria	0.042605
Sitta_europaea	0.054905
Polioptila_caerulea	0.032058
Thryothorus_ludovicianus	0.037118
N585	0.011587
Certhia_brachydactyla	4.9e-05
Certhia_familiaris	3.1e-05
N588	0.043399
N589	0.003057
N590	0.001667
N591	0.005006
Elachura_formosa	0.077968
Buphagus_erythrorhynchus	0.023377
Toxostoma_redivivum	0.029723
Rhabdornis_inornatus	0.023719
Leucopsar_rothschildi	0.009016
Sturnus_vulgaris	0.008487
N598	0.013176
N599	0.001784
N600	0.001642
N601	0.009263
Cinclus_mexicanus	0.050813
Catharus_fuscescens	0.043358
Cercotrichas_coryphaeus	0.016706
Copsychus_sechellarum	0.018213
N606	0.009078
Erithacus_rubecula	0.030442
Ficedula_albicollis	0.02065
Oenanthe_oenanthe	0.013953
Saxicola_maurus	0.012577
N611	0.007931
N612	0.002541
N613	0.006631
N614	0.008947
N615	0.004027
N616	0.000516
N617	0.009594
N618	0.002043
N619	0.000317
N620	0.00012
N621	0.000802
Promerops_cafer	0.037842
Dicaeum_eximium	0.035299
Leptocoma_aspasia	0.027621
N625	0.008181
Chloropsis_cyanopogon	0.013012
Chloropsis_hardwickii	0.017206
N628	0.025586
Irena_cyanogastra	0.045679
Peucedramus_taeniatus	0.037817
Urocynchramus_pylzowi	0.034312
Ploceus_nigricollis	0.024291
Vidua_chalybeata	0.002743
Vidua_macroura	0.00224
N635	0.021169
Lonchura_striata	0.020165
Taeniopygia_guttata	0.018747
N638	0.010174
N639	0.005443
N640	0.004195
N641	0.000721
Prunella_fulvescens	0.012634
Prunella_himalayana	0.010603
N644	0.021641
Passer_domesticus	0.032935
Hypocryptadius_cinnamomeus	0.024472
N647	0.005082
Motacilla_alba	0.035362
Chlorodrepanis_virens	0.002087
Hemignathus_wilsoni	0.001748
N651	0.013229
Serinus_canaria	0.011591
Loxia_curvirostra	0.002519
Loxia_leucoptera	0.002289
N655	0.006009
N656	0.008411
N657	0.010208
Rhodinocichla_rosea	0.024522
Calcarius_ornatus	0.026686
Emberiza_fucata	0.029276
N661	0.001155
Pheucticus_melanocephalus	0.01532
Cardinalis_cardinalis	0.018286
Passerina_amoena	0.016565
N665	0.000417
N666	0.006382
Nesospiza_acunhae	0.019577
