T132	T13	1688012251.7755048	43404.971619759104
T132	T168	1688012251.7755048	43404.971619759104
T61	T132	2765838725.498585	24067.660576515525
T49	T149	4673631886.926919	18871.652896413674
T49	T96	4673631886.926919	18871.652896413674
T166	T109	5094446275.927895	83650.88374519187
T166	T55	5094446275.927895	83650.88374519187
T48	T118	6480757932.845041	148562.6042883627
T48	T67	6480757932.845041	148562.6042883627
T30	T10	6845073271.434367	172667.6934384837
T30	T7	6845073271.434367	172667.6934384837
T174	T32	7332456124.110692	103106.96193035424
T174	T35	7332456124.110692	103106.96193035424
T181	T158	7599668191.501704	50180.14854541373
T181	T59	7599668191.501704	50180.14854541373
T42	T174	8227130140.556014	21176.8666124234
T6	T105	11452580785.94186	158472.33141270524
T6	T72	11452580785.94186	158472.33141270524
T160	T4	11584736194.591269	179706.8443677871
T160	T73	11584736194.591269	179706.8443677871
T93	T107	12065464390.02472	143356.97083115834
T93	T98	12065464390.02472	143356.97083115834
T103	T171	12869628954.036526	231275.5090476905
T103	T33	12869628954.036526	231275.5090476905
T185	T48	14713333886.364986	12751.598568880034
T94	T6	15173102647.559963	31083.687236762544
T151	T129	15634149762.37064	135076.70808170203
T151	T177	15634149762.37064	135076.70808170203
T183	T61	17195882684.15151	304704.68976401037
T100	T121	17801507417.445442	98553.03327093902
T100	T52	17801507417.445442	98553.03327093902
T90	T103	19535656869.978573	91378.56094930398
T86	T28	20233398506.792484	54191.682829631434
T86	T57	20233398506.792484	54191.682829631434
T66	T94	23692293077.21922	84440.17282538366
T113	T86	24490522987.420506	117975.75143476519
T51	T53	24693077159.43682	126213.57084362609
T51	T87	24693077159.43682	126213.57084362609
T186	T113	25853276446.907307	18067.30258880883
T115	T16	26337601831.83422	75955.93256208632
T115	T44	26337601831.83422	75955.93256208632
T29	T142	26688546362.993813	125217.1312661995
T29	T24	26688546362.993813	125217.1312661995
T83	T110	28174409026.69925	59466.38185610297
T83	T74	28174409026.69925	59466.38185610297
T108	T157	28183599808.861744	4302.236784778845
T108	T76	28183599808.861744	4302.236784778845
T112	T30	28509301792.208595	267515.78262009897
T11	T127	29717559616.267162	8874.57050628247
T127	T108	30263435562.842564	87440.16445240578
T9	T151	30855611388.309925	228396.05618431725
T99	T14	31371411988.625816	412979.252236027
T99	T145	31371411988.625816	412979.252236027
T124	T175	37011837456.70769	398631.09151072183
T124	T56	37011837456.70769	398631.09151072183
T95	T138	37112972486.76336	46008.885312124745
T95	T62	37112972486.76336	46008.885312124745
T162	T200	43937247905.89718	3616.4034162742987
T37	T139	44038988151.259766	403487.3303043214
T37	T172	44038988151.259766	403487.3303043214
T200	T29	44649988097.73919	44093.62099086017
T137	T34	44860701944.2814	12267.167329220518
T137	T43	44860701944.2814	12267.167329220518
T18	T51	45122999420.07134	135920.51366159343
T91	T183	46407551075.58344	140671.75750124236
T36	T2	52363135187.60447	101280.66524400169
T36	T75	52363135187.60447	101280.66524400169
T195	T11	56501889365.72824	56804.10795973422
T19	T164	57402354665.48236	352548.30862584984
T19	T3	57402354665.48236	352548.30862584984
T197	T160	65195976938.29594	334452.5662279447
T38	T186	70604014952.49954	297447.52742097795
T80	T131	72198905720.37358	188832.22039691586
T80	T140	72198905720.37358	188832.22039691586
T1	T100	75416248784.34944	553012.9617912065
T173	T80	83462069496.58627	90983.92497533406
T81	T167	95250263479.65666	106293.69346182335
T134	T194	108097445327.01111	587282.3899854383
T134	T68	108097445327.01111	587282.3899854383
T106	T193	114058013162.77641	64050.5637759779
T106	T23	114058013162.77641	64050.5637759779
T135	T143	160819329156.75583	840357.7324749412
T135	T153	160819329156.75583	840357.7324749412
T189	T180	197652278814.1999	55951.59313453967
T189	T65	197652278814.1999	55951.59313453967
T71	T169	222307569743.60474	843297.3598592739
T71	T70	222307569743.60474	843297.3598592739
