d-phlag_0005-c_min3max25	1400	500	92	8	0.05	2	T85	T19	44
d-phlag_0005-c_min3max25	2	1598	399	1	0.2	2	T59	T136	28
d-phlag_0005-c_min3max25	1434	66	0	500	0.25	1	T185	T6	9
d-phlag_0005-c_min3max25	45	1355	600	0	0.3	1	T111	T137	11
d-phlag_0005-c_min3max25	1463	437	70	30	0.05	1	T136	T54	24
d-phlag_0005-c_min3max25	0	1502	0	498	0.25	3	T64	T181	41
d-phlag_0005-c_min3max25	1700	0	300	0	0.15	2	T150	T36	4
d-phlag_0005-c_min3max25	1600	0	0	400	0.2	2	T83	T62	47
d-phlag_0005-c_min3max25	1400	0	600	0	0.3	2	T16	T97	15
d-phlag_0005-c_min3max25	1700	0	300	0	0.15	1	T30	T47	37
d-phlag_0005-c_min3max25	1400	0	600	0	0.3	3	T131	T67	38
d-phlag_0005-c_min3max25	1490	10	0	500	0.25	2	T8	T54	38
d-phlag_0005-c_min3max25	3	1598	399	0	0.2	3	T12	T60	34
d-phlag_0005-c_min3max25	1500	0	500	0	0.25	2	T68	T111	6
d-phlag_0005-c_min3max25	1400	0	600	0	0.3	1	T172	T111	6
d-phlag_0005-c_min3max25	1600	0	0	400	0.2	1	T84	T13	33
d-phlag_0005-c_min3max25	1485	15	0	500	0.25	1	T17	T197	5
d-phlag_0005-c_min3max25	1897	3	0	100	0.05	1	T133	T156	49
d-phlag_0005-c_min3max25	1700	0	300	0	0.15	1	T15	T6	22
d-phlag_0005-c_min3max25	1501	1	0	498	0.25	3	T169	T170	2
d-phlag_0005-c_min3max25	1398	2	2	598	0.3	3	T157	T124	33
d-phlag_0005-c_min3max25	28	1573	398	1	0.2	3	T143	T121	35
d-phlag_0005-c_min3max25	1500	0	0	500	0.25	1	T198	T102	40
d-phlag_0005-c_min3max25	0	1800	0	200	0.1	1	T136	T196	28
d-phlag_0005-c_min3max25	10	1890	100	0	0.05	1	T139	T102	21
d-phlag_0005-c_min3max25	1900	1	0	99	0.05	3	T7	T68	41
d-phlag_0005-c_min3max25	1394	6	4	596	0.3	3	T68	T170	41
d-phlag_0005-c_min3max25	38	1563	399	0	0.2	3	T137	T116	39
d-phlag_0005-c_min3max25	0	1800	200	0	0.1	1	T85	T79	31
d-phlag_0005-c_min3max25	1397	3	2	598	0.3	2	T184	T30	49
d-phlag_0005-c_min3max25	0	1500	500	0	0.25	2	T136	T110	31
d-phlag_0005-c_min3max25	1123	577	164	136	0.15	1	T103	T130	27
d-phlag_0005-c_min3max25	0	1900	100	0	0.05	1	T51	T152	38
d-phlag_0005-c_min3max25	1699	1	14	286	0.15	2	T98	T22	41
d-phlag_0005-c_min3max25	1502	0	498	0	0.25	3	T30	T47	37
d-phlag_0005-c_min3max25	1800	0	200	0	0.1	2	T41	T66	22
d-phlag_0005-c_min3max25	1894	7	6	93	0.05	3	T148	T86	25
d-phlag_0005-c_min3max25	1800	0	2	198	0.1	1	T157	T198	11
d-phlag_0005-c_min3max25	1700	0	0	300	0.15	1	T1	T117	30
d-phlag_0005-c_min3max25	1749	152	66	33	0.05	3	T69	T33	19
d-phlag_0005-c_min3max25	60	1540	397	3	0.2	2	T63	T46	7
d-phlag_0005-c_min3max25	1900	0	2	98	0.05	2	T176	T152	48
d-phlag_0005-c_min3max25	1901	0	99	0	0.05	3	T138	T99	25
d-phlag_0005-c_min3max25	27	1573	400	0	0.2	1	T57	T44	14
d-phlag_0005-c_min3max25	1499	1	0	500	0.25	1	T167	T106	4
d-phlag_0005-c_min3max25	5	1595	400	0	0.2	1	T24	T150	34
d-phlag_0005-c_min3max25	1901	0	99	0	0.05	3	T88	T180	19
d-phlag_0005-c_min3max25	1600	0	400	0	0.2	1	T125	T168	16
d-phlag_0005-c_min3max25	0	1800	200	0	0.1	1	T140	T110	20
d-phlag_0005-c_min3max25	0	1700	300	0	0.15	1	T83	T138	39
d-phlag_0005-c_min3max25	8	1692	300	0	0.15	1	T57	T44	14
d-phlag_0005-c_min3max25	3	1397	600	0	0.3	1	T1	T117	30
d-phlag_0005-c_min3max25	1901	0	0	99	0.05	3	T58	T103	21
d-phlag_0005-c_min3max25	1570	31	378	21	0.2	3	T125	T64	1
d-phlag_0005-c_min3max25	1700	0	300	0	0.15	1	T50	T148	10
d-phlag_0005-c_min3max25	1798	2	0	200	0.1	1	T110	T26	2
d-phlag_0005-c_min3max25	1900	0	100	0	0.05	1	T194	T41	19
d-phlag_0005-c_min3max25	1400	0	600	0	0.3	3	T31	T191	25
d-phlag_0005-c_min3max25	1163	437	266	134	0.2	2	T197	T36	24
d-phlag_0005-c_min3max25	1008	792	0	200	0.1	1	T69	T86	27
d-phlag_0005-c_min3max25	0	1400	600	0	0.3	3	T43	T112	41
d-phlag_0005-c_min3max25	9	1691	300	0	0.15	1	T140	T194	48
d-phlag_0005-c_min3max25	1600	0	4	396	0.2	1	T118	T135	12
d-phlag_0005-c_min3max25	786	1114	0	100	0.05	2	T110	T26	2
d-phlag_0005-c_min3max25	1	1699	300	0	0.15	1	T73	T127	40
d-phlag_0005-c_min3max25	1901	0	10	89	0.05	3	T109	T71	42
d-phlag_0005-c_min3max25	15	1785	200	0	0.1	2	T106	T158	8
d-phlag_0005-c_min3max25	7	1893	100	0	0.05	2	T184	T30	49
d-phlag_0005-c_min3max25	1216	484	0	300	0.15	3	T120	T43	50
d-phlag_0005-c_min3max25	1900	0	100	0	0.05	2	T144	T195	28
d-phlag_0005-c_min3max25	1761	139	50	50	0.05	2	T14	T40	34
d-phlag_0005-c_min3max25	1055	345	496	104	0.3	1	T144	T28	44
d-phlag_0005-c_min3max25	1783	17	10	190	0.1	2	T142	T10	17
d-phlag_0005-c_min3max25	1316	84	569	31	0.3	3	T12	T36	3
d-phlag_0005-c_min3max25	10	1390	600	0	0.3	2	T24	T150	34
d-phlag_0005-c_min3max25	1697	3	126	174	0.15	3	T69	T33	19
d-phlag_0005-c_min3max25	6	1595	382	17	0.2	3	T145	T172	44
d-phlag_0005-c_min3max25	1459	43	166	332	0.25	3	T132	T99	2
d-phlag_0005-c_min3max25	1600	0	400	0	0.2	1	T41	T66	22
d-phlag_0005-c_min3max25	1	1899	100	0	0.05	1	T85	T79	31
d-phlag_0005-c_min3max25	1782	20	2	196	0.1	3	T86	T61	13
d-phlag_0005-c_min3max25	1700	0	0	300	0.15	1	T62	T40	20
d-phlag_0005-c_min3max25	1591	9	4	396	0.2	2	T175	T81	18
d-phlag_0005-c_min3max25	0	1500	0	500	0.25	2	T16	T49	9
d-phlag_0005-c_min3max25	6	1895	98	1	0.05	3	T166	T177	30
d-phlag_0005-c_min3max25	1801	1	1	197	0.1	3	T78	T150	47
d-phlag_0005-c_min3max25	0	1700	0	300	0.15	4	T125	T168	16
d-phlag_0005-c_min3max25	1501	1	8	490	0.25	3	T3	T68	4
d-phlag_0005-c_min3max25	1502	0	498	0	0.25	3	T22	T11	29
d-phlag_0005-c_min3max25	1390	110	250	250	0.25	2	T140	T102	6
d-phlag_0005-c_min3max25	3	1797	200	0	0.1	4	T70	T7	17
d-phlag_0005-c_min3max25	743	657	0	600	0.3	1	T69	T86	27
d-phlag_0005-c_min3max25	1900	0	100	0	0.05	2	T171	T4	2
d-phlag_0005-c_min3max25	3	1397	600	0	0.3	1	T86	T61	13
d-phlag_0005-c_min3max25	1800	0	200	0	0.1	1	T14	T148	10
d-phlag_0005-c_min3max25	0	1700	300	0	0.15	4	T87	T18	29
d-phlag_0005-c_min3max25	0	1500	500	0	0.25	2	T99	T180	26
d-phlag_0005-c_min3max25	2	1498	497	3	0.25	2	T8	T13	35
d-phlag_0005-c_min3max25	1115	485	0	400	0.2	2	T38	T181	50
d-phlag_0005-c_min3max25	8	1893	99	0	0.05	3	T15	T102	14
d-phlag_0005-c_min3max25	1900	0	100	0	0.05	1	T170	T90	12
d-phlag_0005-c_min3max25	0	1900	0	100	0.05	1	T112	T147	23
d-phlag_0005-c_min3max25	1800	0	200	0	0.1	2	T72	T119	16
d-phlag_0005-c_min3max25	1600	0	3	397	0.2	2	T4	T5	22
d-phlag_0005-c_min3max25	39	1361	598	2	0.3	3	T92	T64	49
d-phlag_0005-c_min3max25	2	1398	599	1	0.3	2	T84	T14	45
d-phlag_0005-c_min3max25	1600	0	6	394	0.2	1	T14	T180	4
d-phlag_0005-c_min3max25	1900	0	100	0	0.05	1	T15	T112	17
d-phlag_0005-c_min3max25	1582	18	202	198	0.2	2	T88	T120	12
d-phlag_0005-c_min3max25	4	1496	500	0	0.25	1	T138	T132	9
d-phlag_0005-c_min3max25	6	1394	600	0	0.3	2	T177	T124	35
d-phlag_0005-c_min3max25	2	1398	600	0	0.3	2	T52	T29	6
d-phlag_0005-c_min3max25	11	1689	300	0	0.15	4	T117	T95	31
d-phlag_0005-c_min3max25	1898	2	0	100	0.05	1	T20	T82	6
d-phlag_0005-c_min3max25	1596	104	0	300	0.15	1	T27	T24	14
d-phlag_0005-c_min3max25	1700	0	300	0	0.15	4	T89	T124	21
d-phlag_0005-c_min3max25	1686	14	49	251	0.15	3	T55	T68	17
d-phlag_0005-c_min3max25	1699	1	6	294	0.15	2	T198	T101	10
d-phlag_0005-c_min3max25	1	1499	500	0	0.25	1	T24	T115	23
d-phlag_0005-c_min3max25	0	1400	600	0	0.3	2	T12	T60	34
d-phlag_0005-c_min3max25	1598	2	0	400	0.2	2	T62	T40	20
d-phlag_0005-c_min3max25	0	1500	0	500	0.25	2	T112	T147	23
d-phlag_0005-c_min3max25	1568	132	300	0	0.15	1	T18	T5	33
d-phlag_0005-c_min3max25	1794	6	0	200	0.1	2	T87	T186	16
d-phlag_0005-c_min3max25	27	1873	99	1	0.05	2	T117	T71	5
d-phlag_0005-c_min3max25	1584	16	0	400	0.2	2	T129	T108	48
d-phlag_0005-c_min3max25	1464	136	15	385	0.2	2	T27	T24	14
d-phlag_0005-c_min3max25	0	1400	0	600	0.3	5	T170	T91	13
d-phlag_0005-c_min3max25	1399	1	0	600	0.3	1	T177	T109	13
d-phlag_0005-c_min3max25	36	1664	300	0	0.15	3	T80	T81	4
d-phlag_0005-c_min3max25	1696	4	28	272	0.15	2	T137	T116	39
d-phlag_0005-c_min3max25	1231	669	58	42	0.05	2	T9	T123	27
d-phlag_0005-c_min3max25	1773	27	54	146	0.1	1	T23	T171	10
d-phlag_0005-c_min3max25	1399	1	17	583	0.3	3	T113	T15	49
d-phlag_0005-c_min3max25	1400	0	545	55	0.3	1	T6	T112	2
d-phlag_0005-c_min3max25	1225	175	557	43	0.3	1	T172	T69	45
d-phlag_0005-c_min3max25	0	1900	0	100	0.05	2	T198	T61	3
d-phlag_0005-c_min3max25	1700	0	300	0	0.15	2	T110	T158	12
d-phlag_0005-c_min3max25	1600	0	400	0	0.2	2	T72	T119	16
d-phlag_0005-c_min3max25	1400	0	600	0	0.3	1	T116	T22	3
d-phlag_0005-c_min3max25	1108	392	2	498	0.25	2	T151	T134	24
d-phlag_0005-c_min3max25	1532	168	298	2	0.15	1	T79	T172	45
d-phlag_0005-c_min3max25	4	1596	400	0	0.2	2	T136	T105	40
d-phlag_0005-c_min3max25	120	1280	600	0	0.3	1	T100	T97	31
d-phlag_0005-c_min3max25	1900	0	3	97	0.05	1	T159	T40	8
d-phlag_0005-c_min3max25	1800	0	200	0	0.1	1	T192	T23	48
