TopologyOrder+HMM	admixture	Cuculiformes_050_N275_to_N125	1350	0	0	150	0.1	1.0
TopologyOrder+HMM	admixture	Cuculiformes_075_N275_to_N125	1275	0	0	225	0.15	1.0
TopologyOrder+HMM	admixture	Cuculiformes_050_N275_to_N125	1425	0	2	73	0.05	1.0
TopologyOrder+HMM	admixture	N275_075_N192_to_Opisthocomushoazin	804	396	195	105	0.2	1.0
TopologyOrder+HMM	admixture	Accipitriformes_075_N717_to_Falconiformes	1008	267	174	51	0.15	1.0
TopologyOrder+HMM	admixture	Cuculiformes_050_N275_to_N125	1125	0	0	375	0.25	1.0
TopologyOrder+HMM	admixture	Cuculiformes_050_N275_to_N125	1470	0	0	30	0.02	1.0
TopologyOrder+HMM	admixture	Accipitriformes_075_N717_to_Falconiformes	911	289	221	79	0.2	1.0
TopologyOrder+HMM	admixture	Cuculiformes_050_N275_to_N125	1200	0	0	300	0.2	1.0
TopologyOrder+HMM	admixture	Cuculiformes_050_N275_to_N125	1275	0	0	225	0.15	1.0
TopologyOrder+HMM	admixture	N275_075_N192_to_Opisthocomushoazin	917	433	100	50	0.1	1.0
TopologyOrder+HMM	admixture	Accipitriformes_075_N717_to_Falconiformes	783	342	251	124	0.25	1.0
TopologyOrder+HMM	admixture	Accipitriformes_050_N717_to_Falconiformes	745	380	249	126	0.25	1.0
TopologyOrder+HMM	admixture	Accipitriformes_050_N717_to_Falconiformes	1124	301	58	17	0.05	1.0
TopologyOrder+HMM	admixture	N275_050_N192_to_Opisthocomushoazin	792	408	199	101	0.2	1.0
TopologyOrder+HMM	admixture	Cuculiformes_075_N275_to_N125	1425	0	0	75	0.05	1.0
TopologyOrder+HMM	admixture	Accipitriformes_075_N717_to_Falconiformes	1008	417	48	27	0.05	1.0
TopologyOrder+HMM	admixture	Accipitriformes_050_N717_to_Falconiformes	1069	281	122	28	0.1	1.0
TopologyOrder+HMM	admixture	Accipitriformes_075_N717_to_Falconiformes	1159	311	25	5	0.02	1.0
TopologyOrder+HMM	admixture	Cuculiformes_075_N275_to_N125	1200	0	0	300	0.2	1.0
TopologyOrder+HMM	admixture	Accipitriformes_075_N717_to_Falconiformes	1027	323	110	40	0.1	1.0
TopologyOrder+HMM	admixture	N275_050_N192_to_Opisthocomushoazin	993	357	116	34	0.1	1.0
TopologyOrder+HMM	admixture	N275_050_N192_to_Opisthocomushoazin	738	387	249	126	0.25	1.0
TopologyOrder+HMM	admixture	Accipitriformes_050_N717_to_Falconiformes	1159	311	24	6	0.02	1.0
TopologyOrder+HMM	admixture	N275_075_N192_to_Opisthocomushoazin	1119	6	375	0	0.25	1.0
TopologyOrder+HMM	admixture	Accipitriformes_050_N717_to_Falconiformes	764	511	137	88	0.15	1.0
TopologyOrder+HMM	admixture	Cuculiformes_075_N275_to_N125	1470	0	0	30	0.02	1.0
TopologyOrder+HMM	admixture	N275_050_N192_to_Opisthocomushoazin	1053	372	55	20	0.05	1.0
TopologyOrder+HMM	admixture	N275_050_N192_to_Opisthocomushoazin	1053	417	20	10	0.02	1.0
TopologyOrder+HMM	admixture	N275_075_N192_to_Opisthocomushoazin	793	482	136	89	0.15	1.0
TopologyOrder+HMM	admixture	Accipitriformes_050_N717_to_Falconiformes	945	255	245	55	0.2	1.0
TopologyOrder+HMM	admixture	Cuculiformes_075_N275_to_N125	1350	0	0	150	0.1	1.0
TopologyOrder+HMM	admixture	N275_075_N192_to_Opisthocomushoazin	1061	409	22	8	0.02	1.0
TopologyOrder+HMM	admixture	N275_050_N192_to_Opisthocomushoazin	1268	7	225	0	0.15	1.0
TopologyOrder+HMM	admixture	Cuculiformes_075_N275_to_N125	1125	0	0	375	0.25	1.0
TopologyOrder+HMM	admixture	N275_075_N192_to_Opisthocomushoazin	1026	399	55	20	0.05	1.0
